county,population,race_white,race_black,race_native,race_asian,race_islander,race_other,race_two_or_more
"District of Columbia, District of Columbia",689545,273194,285810,3193,33545,432,37294,56077
"Alachua County, Florida",278468,170245,52156,849,18076,112,9522,27508
"Baker County, Florida",28259,22565,3847,122,157,14,449,1105
"Bay County, Florida",175216,131304,17856,1033,4138,208,5349,15328
"Bradford County, Florida",28303,20929,5478,77,142,17,492,1168
"Brevard County, Florida",606612,448180,58692,2293,15913,544,20172,60818
"Broward County, Florida",1944375,776174,531910,7442,75922,901,167236,384790
"Calhoun County, Florida",13648,10741,1682,111,46,0,222,846
"Charlotte County, Florida",186847,157543,9268,517,2627,72,3876,12944
"Citrus County, Florida",153843,134596,4122,568,2449,54,2321,9733
"Clay County, Florida",218245,154895,26624,943,6804,385,7389,21205
"Collier County, Florida",375752,257007,23349,2050,5571,92,32747,54936
"Columbia County, Florida",69698,50735,11593,273,882,41,1508,4666
"DeSoto County, Florida",33976,21320,4270,177,192,8,4053,3956
"Dixie County, Florida",16759,14057,1571,61,64,4,214,788
"Duval County, Florida",995567,514782,292337,3712,49467,1079,44710,89480
"Escambia County, Florida",321905,206982,68978,2355,10039,437,7487,25627
"Flagler County, Florida",115378,87661,10935,385,2512,65,3436,10384
"Franklin County, Florida",12451,10002,1422,46,30,2,309,640
"Gadsden County, Florida",43826,14936,23435,201,148,13,2851,2242
"Gilchrist County, Florida",17864,15170,801,73,64,6,590,1160
"Glades County, Florida",12126,8241,1469,201,35,1,855,1324
"Gulf County, Florida",14192,11399,1703,76,57,4,236,717
"Hamilton County, Florida",14004,8028,4477,58,43,0,709,689
"Hardee County, Florida",25327,14821,2179,189,172,8,3592,4366
"Hendry County, Florida",39619,18446,4357,648,350,14,8019,7785
"Hernando County, Florida",194515,152496,10263,826,2669,107,8087,20067
"Highlands County, Florida",101235,71549,9891,503,1644,58,6639,10951
"Hillsborough County, Florida",1459762,767348,237434,7229,71080,1149,129490,246032
"Holmes County, Florida",19653,17063,1237,128,90,13,235,887
"Indian River County, Florida",159788,122541,13367,531,2390,68,6823,14068
"Jackson County, Florida",47319,31381,12150,225,294,18,986,2265
"Jefferson County, Florida",14510,8905,4621,42,34,4,316,588
"Lafayette County, Florida",8226,6363,1045,24,10,6,422,356
"Lake County, Florida",383956,269452,39544,1625,8566,346,23021,41402
"Lee County, Florida",760822,530637,58916,3828,13090,312,56861,97178
"Leon County, Florida",292198,163927,88862,838,10590,174,6175,21632
"Levy County, Florida",42915,34111,3690,232,293,17,1415,3157
"Liberty County, Florida",7974,5926,1357,63,18,2,279,329
"Madison County, Florida",17968,10425,6310,59,46,0,327,801
"Manatee County, Florida",399710,289188,32121,1642,8555,275,26548,41381
"Marion County, Florida",375908,268563,44411,1527,6072,171,17865,37299
"Martin County, Florida",158431,124465,7582,1223,2291,60,9241,13569
"Miami-Dade County, Florida",2701767,796893,400002,9107,44124,641,319419,1131581
"Monroe County, Florida",82874,60153,4807,345,1170,64,3858,12477
"Nassau County, Florida",90352,77047,5035,300,890,61,1278,5741
"Okaloosa County, Florida",211668,151861,19660,1206,6802,489,8017,23633
"Okeechobee County, Florida",39644,27333,3405,404,335,14,4021,4132
"Orange County, Florida",1429908,629789,277027,6328,78348,1417,171904,265095
"Osceola County, Florida",388656,157720,40775,2253,11803,338,78160,97607
"Palm Beach County, Florida",1492191,855682,262422,9598,44140,685,111406,208258
"Pasco County, Florida",561891,417086,34004,2205,16775,391,26351,65079
"Pinellas County, Florida",959107,709036,94154,3561,34167,852,32875,84462
"Polk County, Florida",725046,439034,105533,3884,13514,463,68847,93771
"Putnam County, Florida",73321,52345,11444,434,481,39,3350,5228
"St. Johns County, Florida",273425,220420,13363,726,9882,160,4766,24108
"St. Lucie County, Florida",329226,192202,66407,1398,5818,185,22160,41056
"Santa Rosa County, Florida",188000,151133,11035,1309,3928,392,3627,16576
"Sarasota County, Florida",434006,359053,16781,1320,8515,182,14536,33619
"Seminole County, Florida",470856,289597,53509,1623,25615,322,30950,69240
"Sumter County, Florida",129752,112058,8593,386,1256,41,1906,5512
"Suwannee County, Florida",43474,33024,5010,228,275,19,1892,3026
"Taylor County, Florida",21796,16047,4209,114,225,0,292,909
"Union County, Florida",16147,11903,3233,50,35,0,307,619
"Volusia County, Florida",553543,400163,57789,2085,10689,305,27530,54982
"Wakulla County, Florida",33764,26614,4250,165,203,19,544,1969
"Walton County, Florida",75305,61858,3339,539,923,46,2862,5738
"Washington County, Florida",25318,19811,3283,222,137,28,350,1487
"Appling County, Georgia",18444,13071,3387,91,128,1,1059,707
"Atkinson County, Georgia",8286,5280,1213,64,13,4,1039,673
"Bacon County, Georgia",11140,8251,1763,14,40,4,571,497
"Baker County, Georgia",2876,1536,1130,1,18,0,73,118
"Baldwin County, Georgia",43799,22655,18404,83,599,28,670,1360
"Banks County, Georgia",18035,15838,395,103,190,14,513,982
"Barrow County, Georgia",83505,57644,10369,405,3274,23,5025,6765
"Bartow County, Georgia",108901,82391,11512,481,1186,44,5370,7917
"Ben Hill County, Georgia",17194,9432,6267,70,119,0,546,760
"Berrien County, Georgia",18160,14643,1954,37,80,10,480,956
"Bibb County, Georgia",157346,57778,85885,373,3251,53,3735,6271
"Bleckley County, Georgia",12583,9016,2818,20,154,8,200,367
"Brantley County, Georgia",18021,16427,568,57,42,3,129,795
"Brooks County, Georgia",16301,9307,5714,50,67,6,456,701
"Bryan County, Georgia",44738,32217,6486,140,1060,53,987,3795
"Bulloch County, Georgia",81099,50718,23052,225,1303,71,1874,3856
"Burke County, Georgia",24596,12166,11027,58,97,13,329,906
"Butts County, Georgia",25434,16823,6832,39,107,9,432,1192
"Calhoun County, Georgia",5573,1783,3581,8,19,0,102,80
"Camden County, Georgia",54768,38371,9697,261,882,77,1176,4304
"Candler County, Georgia",10981,6768,2695,30,65,3,811,609
"Carroll County, Georgia",119148,82566,22126,520,1121,23,4978,7814
"Catoosa County, Georgia",67872,59903,1858,244,1035,85,895,3852
"Charlton County, Georgia",12518,8745,2627,47,116,2,533,448
"Chatham County, Georgia",295291,143891,109313,1079,10709,456,11609,18234
"Chattahoochee County, Georgia",9565,5965,1511,46,306,111,586,1040
"Chattooga County, Georgia",24965,20293,2408,98,102,0,860,1204
"Cherokee County, Georgia",266620,204670,17785,1343,5497,117,12616,24592
"Clarke County, Georgia",128671,74925,31660,580,4954,86,7849,8617
"Clay County, Georgia",2848,1151,1597,1,6,0,8,85
"Clayton County, Georgia",297595,30505,207981,1991,13640,178,26319,16981
"Clinch County, Georgia",6749,4309,1965,30,23,14,142,266
"Cobb County, Georgia",766149,387625,203840,4260,42810,395,54070,73149
"Coffee County, Georgia",43092,25437,11972,210,301,26,2974,2172
"Colquitt County, Georgia",45898,27248,10068,400,388,15,4808,2971
