county,population,race_white,race_black,race_native,race_asian,race_islander,race_other,race_two_or_more
"Howard County, Nebraska",6475,6200,14,27,12,1,43,178
"Jefferson County, Nebraska",7240,6671,20,45,15,0,181,308
"Johnson County, Nebraska",5290,4187,315,52,76,0,442,218
"Kearney County, Nebraska",6688,6159,3,19,12,9,175,311
"Keith County, Nebraska",8335,7509,19,35,46,7,239,480
"Keya Paha County, Nebraska",769,737,0,2,0,1,6,23
"Kimball County, Nebraska",3434,3122,1,42,15,0,61,193
"Knox County, Nebraska",8391,7018,16,961,28,4,91,273
"Lancaster County, Nebraska",322608,258438,13759,2665,14086,206,10467,22987
"Lincoln County, Nebraska",34676,30678,427,214,325,7,939,2086
"Logan County, Nebraska",716,676,0,1,4,0,0,35
"Loup County, Nebraska",607,565,0,0,1,0,8,33
"McPherson County, Nebraska",399,378,0,4,2,0,1,14
"Madison County, Nebraska",35585,28898,414,533,448,9,2564,2719
"Merrick County, Nebraska",7668,7049,44,37,32,6,155,345
"Morrill County, Nebraska",4555,3892,20,54,21,0,251,317
"Nance County, Nebraska",3380,3224,4,14,6,0,11,121
"Nemaha County, Nebraska",7074,6602,66,33,33,0,87,253
"Nuckolls County, Nebraska",4095,3862,6,4,4,0,49,170
"Otoe County, Nebraska",15912,14172,89,76,90,0,561,924
"Pawnee County, Nebraska",2544,2461,4,7,0,1,14,57
"Perkins County, Nebraska",2858,2660,10,3,3,5,65,112
"Phelps County, Nebraska",8968,8286,35,36,28,1,199,383
"Pierce County, Nebraska",7317,6993,31,22,16,2,53,200
"Platte County, Nebraska",34296,26932,374,306,205,9,3680,2790
"Polk County, Nebraska",5214,4798,11,23,2,1,116,263
"Red Willow County, Nebraska",10702,9734,113,50,39,12,319,435
"Richardson County, Nebraska",7871,7151,24,226,36,1,27,406
"Rock County, Nebraska",1262,1223,3,1,0,0,9,26
"Saline County, Nebraska",14292,9893,137,204,277,48,2300,1433
"Sarpy County, Nebraska",190604,152525,7459,1012,4794,239,7064,17511
"Saunders County, Nebraska",22278,20897,80,85,86,5,228,897
"Scotts Bluff County, Nebraska",36084,28265,287,768,281,25,2664,3794
"Seward County, Nebraska",17609,16566,105,56,57,6,169,650
"Sheridan County, Nebraska",5127,4143,15,566,30,2,85,286
"Sherman County, Nebraska",2959,2807,10,16,5,2,10,109
"Sioux County, Nebraska",1135,1065,0,2,4,2,18,44
"Stanton County, Nebraska",5842,5308,22,32,18,7,142,313
"Thayer County, Nebraska",5034,4817,10,15,10,6,44,132
"Thomas County, Nebraska",669,630,0,4,1,0,4,30
"Thurston County, Nebraska",6773,2475,24,3980,9,9,84,192
"Valley County, Nebraska",4059,3865,15,10,10,10,43,106
"Washington County, Nebraska",20865,19518,72,37,100,4,247,887
"Wayne County, Nebraska",9697,8023,351,61,122,8,649,483
"Webster County, Nebraska",3395,3160,14,16,9,0,39,157
"Wheeler County, Nebraska",774,741,0,3,0,0,1,29
"York County, Nebraska",14125,12789,174,88,95,5,397,577
"Churchill County, Nevada",25516,18717,460,1174,680,93,1499,2893
"Clark County, Nevada",2265461,1016368,286684,23735,237663,20572,348344,332095
"Douglas County, Nevada",49488,40307,243,1014,934,95,2244,4651
"Elko County, Nevada",53702,37435,522,2849,598,87,6294,5917
"Esmeralda County, Nevada",729,548,4,30,6,0,65,76
"Eureka County, Nevada",1855,1577,3,22,4,3,53,193
"Humboldt County, Nevada",17285,12063,147,697,164,27,2167,2020
"Lander County, Nevada",5734,4282,12,268,27,10,534,601
"Lincoln County, Nevada",4499,3950,171,29,21,24,108,196
"Lyon County, Nevada",59235,44813,530,1368,980,196,4264,7084
"Mineral County, Nevada",4554,3001,165,785,65,8,169,361
"Nye County, Nevada",51591,39153,1573,809,1060,245,3320,5431
"Pershing County, Nevada",6650,4455,322,233,113,14,922,591
"Storey County, Nevada",4104,3427,24,45,67,12,124,405
"Washoe County, Nevada",486492,311769,12295,9014,28799,3466,57961,63188
"White Pine County, Nevada",9080,6746,442,401,106,24,596,765
"Carson City, Nevada",58639,39852,1142,1459,1416,135,7093,7542
"Belknap County, New Hampshire",63705,59134,359,128,588,14,392,3090
"Carroll County, New Hampshire",50107,47199,134,111,359,9,343,1952
"Cheshire County, New Hampshire",76458,69907,708,169,1079,53,642,3900
"Coos County, New Hampshire",31268,28946,526,93,202,3,155,1343
"Grafton County, New Hampshire",91118,81268,819,222,2867,24,914,5004
"Hillsborough County, New Hampshire",422937,350270,10937,1021,16523,141,14855,29190
"Merrimack County, New Hampshire",153808,138454,2650,362,3026,64,1336,7916
"Rockingham County, New Hampshire",314176,285715,2278,460,6316,92,3787,15528
"Strafford County, New Hampshire",130889,115890,1513,310,4506,47,1367,7256
"Sullivan County, New Hampshire",43063,39420,203,155,405,6,311,2563
"Atlantic County, New Jersey",274534,156796,41519,1253,21784,342,27192,25648
"Bergen County, New Jersey",955732,543849,54831,4535,158630,217,96383,97287
"Burlington County, New Jersey",461860,303024,77749,1168,26235,303,16041,37340
"Camden County, New Jersey",523485,293198,101109,2468,32598,196,51285,42631
"Cape May County, New Jersey",95263,81536,3567,253,908,28,3296,5675
"Cumberland County, New Jersey",154152,74606,28581,2382,2108,19,28050,18406
"Essex County, New Jersey",863728,261487,335047,4604,47591,378,124085,90536
"Gloucester County, New Jersey",302294,230313,32992,727,9543,84,8134,20501
"Hudson County, New Jersey",724854,248561,79498,7388,124555,417,159950,104485
"Hunterdon County, New Jersey",128947,106790,3174,282,5714,23,4105,8859
"Mercer County, New Jersey",387340,178447,74993,2442,48537,206,49572,33143
"Middlesex County, New Jersey",863162,361742,84360,4614,228813,340,105028,78265
"Monmouth County, New Jersey",643615,476056,41124,2361,36316,163,36259,51336
"Morris County, New Jersey",509285,354824,16669,1632,58034,127,31260,46739
"Ocean County, New Jersey",637229,534036,19079,2257,11526,129,27850,42352
"Passaic County, New Jersey",524118,229573,57809,6383,30852,195,134687,64619
"Salem County, New Jersey",64837,46600,9534,342,667,13,3004,4677
"Somerset County, New Jersey",345361,185499,31842,1520,67309,98,27854,31239
"Sussex County, New Jersey",144221,121879,3088,336,3002,20,4469,11427
"Union County, New Jersey",575345,236589,117306,4022,32434,200,105583,79211
"Warren County, New Jersey",109632,86875,5899,217,2934,35,4554,9118
"Bernalillo County, New Mexico",676444,353144,21344,38197,20253,794,100713,141999
"Catron County, New Mexico",3579,2961,37,59,8,0,154,360
"Chaves County, New Mexico",65157,36649,1225,903,667,43,13399,12271
"Cibola County, New Mexico",27172,8080,284,12240,209,18,2865,3476
"Colfax County, New Mexico",12387,8137,36,211,61,18,1316,2608
"Curry County, New Mexico",48430,27928,2900,634,810,37,8211,7910
"De Baca County, New Mexico",1698,1298,8,10,11,5,178,188
"Doña Ana County, New Mexico",219561,104209,4072,4089,2700,195,44199,60097
"Eddy County, New Mexico",62314,36266,977,922,597,61,11825,11666
"Grant County, New Mexico",28185,18266,309,588,202,21,3306,5493
"Guadalupe County, New Mexico",4452,2067,74,62,50,0,842,1357
"Harding County, New Mexico",657,428,4,7,0,0,46,172
"Hidalgo County, New Mexico",4178,2655,14,40,14,7,475,973
"Lea County, New Mexico",74455,34303,2801,965,661,22,20145,15558
"Lincoln County, New Mexico",20269,14263,88,591,162,13,1972,3180
"Los Alamos County, New Mexico",19419,14513,167,157,1238,15,730,2599
"Luna County, New Mexico",25427,12797,304,344,175,20,5456,6331
"McKinley County, New Mexico",72902,7639,353,56941,948,36,3151,3834
"Mora County, New Mexico",4189,2020,14,112,16,0,705,1322
"Otero County, New Mexico",67839,38167,2662,4981,1056,183,8371,12419
"Quay County, New Mexico",8746,6181,110,137,49,9,1004,1256
"Rio Arriba County, New Mexico",40363,13865,206,6929,256,13,8553,10541
"Roosevelt County, New Mexico",19191,11910,504,244,189,18,3220,3106
"Sandoval County, New Mexico",148834,81521,3327,18314,2545,265,15768,27094
"San Juan County, New Mexico",121661,50416,714,50021,916,71,8456,11067
"San Miguel County, New Mexico",27201,12382,344,546,156,2,5691,8080
"Santa Fe County, New Mexico",154823,88915,1412,5558,2367,128,22348,34095
"Sierra County, New Mexico",11576,8815,93,241,125,3,855,1444
"Socorro County, New Mexico",16595,8099,176,2185,311,8,2629,3187
"Taos County, New Mexico",34489,19084,173,2289,210,15,5130,7588
"Torrance County, New Mexico",15045,9801,133,387,54,11,2332,2327
"Union County, New Mexico",4079,2712,66,84,7,4,368,838
"Valencia County, New Mexico",76205,39446,973,3253,446,58,14219,17810
"Albany County, New York",314848,215496,43206,845,24473,183,8873,21772
"Allegany County, New York",46456,42555,829,91,379,9,678,1915
"Bronx County, New York",1472654,207573,487118,21539,69559,1640,493052,192173
"Broome County, New York",198683,158674,12684,556,9372,84,3975,13338
"Cattaraugus County, New York",77042,68128,1043,2706,567,14,571,4013
"Cayuga County, New York",76248,67017,2910,310,385,54,1033,4539
"Chautauqua County, New York",127657,109333,3354,673,818,57,4278,9144
"Chemung County, New York",84148,70463,5315,240,1432,15,947,5736
"Chenango County, New York",47220,43531,357,126,245,15,353,2593
"Clinton County, New York",79843,70142,3060,285,975,26,1010,4345
"Columbia County, New York",61570,51533,2557,188,1431,21,1584,4256
"Cortland County, New York",46809,41250,895,124,1028,15,825,2672
"Delaware County, New York",44308,39466,1072,145,489,10,651,2475
"Dutchess County, New York",295911,207251,32289,1312,10781,74,18380,25824
"Erie County, New York",954236,693563,134795,5594,46384,280,21804,51816
"Essex County, New York",37381,34102,676,78,229,12,306,1978
"Franklin County, New York",47555,39036,1848,4141,191,0,483,1856
"Fulton County, New York",53324,47775,1068,121,349,4,688,3319
"Genesee County, New York",58388,51541,1441,419,416,17,1421,3133
"Greene County, New York",47931,40490,2370,161,506,7,948,3449
"Hamilton County, New York",5107,4785,31,14,12,1,22,242
"Herkimer County, New York",60139,55246,759,108,370,35,382,3239
"Jefferson County, New York",116721,96244,6707,594,2248,309,2341,8278
"Kings County, New York",2736074,1028774,772050,20598,373680,1487,302186,237299
"Lewis County, New York",26582,25121,109,57,76,11,184,1024
"Livingston County, New York",61834,55442,1191,145,657,6,995,3398
"Madison County, New York",68016,61504,1120,466,679,11,517,3719
"Monroe County, New York",759443,521127,118879,2094,32630,270,30359,54084
"Montgomery County, New York",49532,40209,1267,159,489,20,2935,4453
"Nassau County, New York",1395774,817196,153274,6219,164201,435,137138,117311
"New York County, New York",1694251,847604,229361,9969,221995,1795,208086,175441
"Niagara County, New York",212666,175821,16740,2428,2459,47,2807,12364
"Oneida County, New York",232125,185042,16184,692,10626,93,5967,13521
"Onondaga County, New York",476516,353232,56947,3364,20235,138,9913,32687
"Ontario County, New York",112458,98880,2662,265,1383,24,2647,6597
"Orange County, New York",401310,248085,45543,2949,12025,185,52023,40500
"Orleans County, New York",40343,34643,1951,223,154,13,922,2437
"Oswego County, New York",117525,107264,1584,508,871,31,1003,6264
"Otsego County, New York",58524,52403,1286,121,827,11,748,3128
"Putnam County, New York",97668,75406,2828,425,2225,25,7312,9447
"Queens County, New York",2405464,621475,403077,30513,660631,1718,444686,243364
"Rensselaer County, New York",161130,126828,12872,441,5776,25,3062,12126
"Richmond County, New York",495747,295519,52039,3599,59279,234,46257,38820
"Rockland County, New York",338329,214890,35542,1716,20685,110,38086,27300
"St. Lawrence County, New York",108505,97530,3074,1194,1105,34,1005,4563
"Saratoga County, New York",235509,206278,4047,438,7494,68,2603,14581
"Schenectady County, New York",158061,107493,17322,1125,8354,145,8463,15159
"Schoharie County, New York",29714,27112,305,83,211,3,304,1696
"Schuyler County, New York",17898,16750,101,50,108,1,93,795
"Seneca County, New York",33814,29737,1414,162,269,3,454,1775
"Steuben County, New York",93584,84953,1469,234,1633,12,665,4618
"Suffolk County, New York",1525920,1022846,114294,9188,65779,427,166174,147212
"Sullivan County, New York",78624,56040,6814,418,1597,29,6168,7558
"Tioga County, New York",48455,44557,452,75,379,18,399,2575
"Tompkins County, New York",105740,78657,4597,353,10532,47,2855,8699
"Ulster County, New York",181851,141728,11063,829,3860,63,8390,15918
"Warren County, New York",65737,59911,799,170,753,1,497,3606
"Washington County, New York",61302,55162,1715,174,326,23,703,3199
"Wayne County, New York",91283,80476,2562,263,487,15,1667,5813
"Westchester County, New York",1004457,533150,141094,7466,65707,339,146911,109790
"Wyoming County, New York",40531,36046,1999,98,218,6,594,1570
"Yates County, New York",24774,23264,161,49,93,10,250,947
"Alamance County, North Carolina",171415,105847,34014,1427,2848,105,15439,11735
"Alexander County, North Carolina",36444,31284,1932,144,392,5,1009,1678
"Alleghany County, North Carolina",10888,9544,104,47,15,6,602,570
"Anson County, North Carolina",22055,10692,9871,106,221,7,443,715
"Ashe County, North Carolina",26577,24435,127,77,103,12,723,1100
"Avery County, North Carolina",17806,15746,664,89,63,1,547,696
"Beaufort County, North Carolina",44652,29817,10303,168,166,16,2352,1830
"Bertie County, North Carolina",17934,6339,10720,63,63,6,207,536
"Bladen County, North Carolina",29606,16102,9576,799,48,11,1792,1278
"Brunswick County, North Carolina",136693,112307,11546,895,910,92,3554,7389
"Buncombe County, North Carolina",269452,218867,15311,1243,3322,496,11249,18964
"Burke County, North Carolina",87570,69671,4854,1337,3168,70,3829,4641
"Cabarrus County, North Carolina",225804,137756,42622,1133,11984,137,14863,17309
"Caldwell County, North Carolina",80652,68859,3914,340,544,16,2521,4458
"Camden County, North Carolina",10355,8312,1055,49,119,2,122,696
"Carteret County, North Carolina",67686,58255,3274,312,594,63,1417,3771
"Caswell County, North Carolina",22736,14232,6824,85,64,22,553,956
"Catawba County, North Carolina",160610,118946,12835,1023,7023,94,9488,11201
"Chatham County, North Carolina",76285,54431,7914,471,1627,37,6343,5462
"Cherokee County, North Carolina",28774,25640,381,436,158,0,327,1832
"Chowan County, North Carolina",13708,8351,4408,47,40,1,302,559
"Clay County, North Carolina",11089,10150,65,44,40,9,177,604
"Cleveland County, North Carolina",99519,71076,20159,277,861,25,2091,5030
"Columbus County, North Carolina",50623,30380,14586,1732,161,14,1771,1979
"Craven County, North Carolina",100720,66703,20204,413,3093,167,3003,7137
"Cumberland County, North Carolina",334728,141912,127610,5556,9173,1454,15833,33190
"Currituck County, North Carolina",28100,23878,1392,118,275,27,407,2003
"Dare County, North Carolina",36915,32429,703,181,265,10,1166,2161
"Davidson County, North Carolina",168930,131922,16065,1018,2468,50,7791,9616
"Davie County, North Carolina",42712,35340,2428,207,280,7,1913,2537
"Duplin County, North Carolina",48715,26084,11604,488,173,14,7210,3142
"Durham County, North Carolina",324833,139231,110610,2285,16817,131,32046,23713
"Edgecombe County, North Carolina",48900,17631,27429,194,113,12,1867,1654
"Forsyth County, North Carolina",382590,214877,95324,2528,9280,285,32196,28100
"Franklin County, North Carolina",68573,43473,15990,491,465,24,4131,3999
"Gaston County, North Carolina",227943,156794,40323,1082,3543,74,11018,15109
"Gates County, North Carolina",10478,6762,3023,71,25,12,87,498
"Graham County, North Carolina",8030,6913,50,590,22,5,97,353
"Granville County, North Carolina",60992,34579,18435,370,370,36,3926,3276
"Greene County, North Carolina",20451,9992,7250,185,37,12,2095,880
"Guilford County, North Carolina",541299,263428,181848,3183,28922,265,28722,34931
"Halifax County, North Carolina",48622,19304,24846,1667,284,11,856,1654
"Harnett County, North Carolina",133568,81867,27417,1423,1494,274,9481,11612
"Haywood County, North Carolina",62089,56440,663,363,370,1,1230,3022
"Henderson County, North Carolina",116281,94151,3388,565,1347,629,8394,7807
"Hertford County, North Carolina",21552,7622,12393,206,123,3,466,739
"Hoke County, North Carolina",52082,21031,16766,4063,750,213,3730,5529
"Hyde County, North Carolina",4589,2956,1169,10,7,2,216,229
"Iredell County, North Carolina",186693,139369,21678,711,4785,82,7612,12456
"Jackson County, North Carolina",43109,33426,856,4098,512,10,1663,2544
"Johnston County, North Carolina",215999,142425,33730,1767,1886,103,18150,17938
"Jones County, North Carolina",9172,5867,2579,61,34,5,208,418
"Lee County, North Carolina",63285,38413,10885,533,663,49,7418,5324
"Lenoir County, North Carolina",55122,27113,22195,182,336,31,2675,2590
"Lincoln County, North Carolina",86810,72716,4482,328,711,33,3004,5536
"McDowell County, North Carolina",44578,38356,1732,216,388,0,1777,2109
"Macon County, North Carolina",37014,32099,257,279,265,8,1770,2336
"Madison County, North Carolina",21193,19373,215,71,87,3,325,1119
"Martin County, North Carolina",22031,11624,8922,82,99,3,570,731
"Mecklenburg County, North Carolina",1115482,520567,330458,6700,72035,651,97581,87490
"Mitchell County, North Carolina",14903,13663,53,30,54,1,357,745
"Montgomery County, North Carolina",25751,16917,4226,139,393,9,2746,1321
"Moore County, North Carolina",99727,77010,10671,825,1264,60,3341,6556
"Nash County, North Carolina",94970,47378,36958,739,915,42,4675,4263
"New Hanover County, North Carolina",225702,170837,27386,1038,3515,154,8128,14644
"Northampton County, North Carolina",17471,6915,9689,48,27,4,214,574
"Onslow County, North Carolina",204576,137072,28026,1460,4729,825,10196,22268
"Orange County, North Carolina",148696,99091,15848,851,12674,51,8092,12089
"Pamlico County, North Carolina",12276,9216,2061,58,62,8,243,628
"Pasquotank County, North Carolina",40568,22019,14478,213,470,30,1029,2329
"Pender County, North Carolina",60203,45305,7619,354,342,31,2834,3718
"Perquimans County, North Carolina",13005,9412,2715,39,39,10,136,654
"Person County, North Carolina",39097,25554,9937,281,125,8,1256,1936
"Pitt County, North Carolina",170243,88790,60414,711,3078,106,7779,9365
"Polk County, North Carolina",19328,16934,698,81,60,14,446,1095
"Randolph County, North Carolina",144171,111459,8748,1150,2173,16,10775,9850
"Richmond County, North Carolina",42946,23969,12881,1041,364,20,2217,2454
"Robeson County, North Carolina",116530,30041,26424,44871,908,79,8192,6015
"Rockingham County, North Carolina",91096,65434,16789,441,500,30,3248,4654
"Rowan County, North Carolina",146875,102693,23012,761,1522,88,9003,9796
"Rutherford County, North Carolina",64444,52808,5903,224,348,25,1506,3630
"Sampson County, North Carolina",59036,31254,14130,1294,231,22,8500,3605
"Scotland County, North Carolina",34174,14402,13162,3745,343,15,718,1789
"Stanly County, North Carolina",62504,49149,7079,275,1145,9,1881,2966
"Stokes County, North Carolina",44520,39966,1644,181,159,13,628,1929
"Surry County, North Carolina",71359,59307,2486,314,378,16,4754,4104
"Swain County, North Carolina",14117,8638,108,4171,54,14,224,908
"Transylvania County, North Carolina",32986,28957,1037,125,173,22,848,1824
"Tyrrell County, North Carolina",3245,1903,938,5,43,0,154,202
"Union County, North Carolina",238267,165562,26981,1215,9572,122,16335,18480
"Vance County, North Carolina",42578,16682,21237,161,286,11,2493,1708
"Wake County, North Carolina",1129410,663832,208493,5756,97042,572,68297,85418
"Warren County, North Carolina",18642,7253,9114,978,62,4,509,722
"Washington County, North Carolina",11003,4999,5375,23,37,9,223,337
"Watauga County, North Carolina",54086,45726,2149,131,945,19,2161,2955
"Wayne County, North Carolina",117333,62452,35795,682,1580,77,9153,7594
"Wilkes County, North Carolina",65969,57105,2634,218,325,11,2725,2951
"Wilson County, North Carolina",78784,37341,30097,489,900,25,5661,4271
"Yadkin County, North Carolina",37214,30842,1136,203,143,0,2855,2035
"Yancey County, North Carolina",18470,16866,108,82,40,3,503,868
"Adams County, North Dakota",2200,2039,13,14,39,1,11,83
"Barnes County, North Dakota",10853,10025,186,103,69,3,73,394
"Benson County, North Dakota",5964,2542,7,3216,7,2,20,170
"Billings County, North Dakota",945,911,4,5,6,0,0,19
"Bottineau County, North Dakota",6379,5754,31,217,42,1,41,293
"Bowman County, North Dakota",2993,2793,0,37,17,3,38,105
"Burke County, North Dakota",2201,2082,13,25,12,0,15,54
"Burleigh County, North Dakota",98458,85148,2283,4257,1054,317,1114,4285
"Cass County, North Dakota",184525,151307,12963,2614,6068,101,1994,9478
"Cavalier County, North Dakota",3704,3504,3,28,16,0,22,131
"Dickey County, North Dakota",4999,4628,28,28,30,0,78,207
"Divide County, North Dakota",2195,2054,23,19,11,4,5,79
"Dunn County, North Dakota",4095,3277,25,457,33,0,40,263
"Eddy County, North Dakota",2347,2109,5,65,2,0,33,133
"Emmons County, North Dakota",3301,3179,0,13,12,0,10,87
"Foster County, North Dakota",3397,3212,8,20,15,0,30,112
"Golden Valley County, North Dakota",1736,1620,5,12,1,1,6,91
"Grand Forks County, North Dakota",73170,60056,3065,1810,2495,59,1006,4679
"Grant County, North Dakota",2301,2176,10,34,11,0,2,68
"Griggs County, North Dakota",2306,2205,8,12,7,0,6,68
"Hettinger County, North Dakota",2489,2327,5,45,7,7,10,88
"Kidder County, North Dakota",2394,2278,3,12,2,6,29,64
"LaMoure County, North Dakota",4093,3923,14,26,9,4,32,85
"Logan County, North Dakota",1876,1778,2,14,0,0,16,66
"McHenry County, North Dakota",5345,5054,11,27,13,6,26,208
"McIntosh County, North Dakota",2530,2390,7,7,23,0,29,74
"McKenzie County, North Dakota",14704,10638,218,1894,171,5,709,1069
"McLean County, North Dakota",9771,8405,32,808,48,7,36,435
"Mercer County, North Dakota",8350,7622,42,200,44,1,75,366
"Morton County, North Dakota",33291,29150,466,1323,175,40,508,1629
"Mountrail County, North Dakota",9809,5706,113,2840,105,3,244,798
"Nelson County, North Dakota",3015,2863,6,26,9,1,23,87
"Oliver County, North Dakota",1877,1757,3,24,5,3,13,72
"Pembina County, North Dakota",6844,6173,29,135,27,0,76,404
"Pierce County, North Dakota",3990,3637,38,146,17,5,27,120
"Ramsey County, North Dakota",11605,9438,73,1276,72,10,72,664
"Ransom County, North Dakota",5703,5400,38,18,25,0,53,169
"Renville County, North Dakota",2282,2161,5,15,1,0,7,93
"Richland County, North Dakota",16529,14874,155,467,128,23,244,638
"Rolette County, North Dakota",12187,2319,17,9278,25,8,17,523
"Sargent County, North Dakota",3862,3599,50,13,14,0,28,158
"Sheridan County, North Dakota",1265,1191,2,11,8,0,5,48
"Sioux County, North Dakota",3898,401,3,3332,2,0,5,155
"Slope County, North Dakota",706,680,3,2,0,0,0,21
"Stark County, North Dakota",33646,28924,1050,469,356,56,928,1863
"Steele County, North Dakota",1798,1732,3,7,0,4,5,47
"Stutsman County, North Dakota",21593,19722,456,301,137,4,190,783
"Towner County, North Dakota",2162,1987,2,71,10,1,14,77
"Traill County, North Dakota",7997,7410,48,74,18,4,83,360
"Walsh County, North Dakota",10563,9085,71,145,47,0,416,799
"Ward County, North Dakota",69919,57038,3024,1706,1120,133,1380,5518
"Wells County, North Dakota",3982,3801,18,17,12,0,11,123
"Williams County, North Dakota",40950,31854,2096,1199,636,101,1527,3537
"Adams County, Ohio",27477,26277,84,78,39,1,79,919
"Allen County, Ohio",102206,80753,12573,300,840,53,1450,6237
"Ashland County, Ohio",52447,49249,394,114,322,33,285,2050
"Ashtabula County, Ohio",97574,85486,3606,203,349,18,1659,6253
"Athens County, Ohio",62431,54513,2894,247,1223,2,630,2922
"Auglaize County, Ohio",46422,43929,240,86,255,41,271,1600
"Belmont County, Ohio",66497,60831,2117,89,266,11,337,2846
"Brown County, Ohio",43676,41237,304,75,97,5,196,1762
"Butler County, Ohio",390357,299100,34704,1481,15730,494,13495,25353
"Carroll County, Ohio",26721,25307,122,77,52,4,135,1024
"Champaign County, Ohio",38714,35615,688,91,129,7,238,1946
"Clark County, Ohio",136001,111088,12200,419,902,93,2635,8664
"Clermont County, Ohio",208601,189024,3347,449,2549,63,1946,11223
"Clinton County, Ohio",42018,38484,832,104,206,6,433,1953
"Columbiana County, Ohio",101877,94155,2122,319,346,16,615,4304
"Coshocton County, Ohio",36612,34730,397,63,104,13,120,1185
"Crawford County, Ohio",42025,39652,319,40,137,12,181,1684
"Cuyahoga County, Ohio",1264817,736116,370895,2990,44071,361,35716,74668
"Darke County, Ohio",51881,49322,303,107,182,26,353,1588
"Defiance County, Ohio",38286,33648,668,145,142,17,1358,2308
"Delaware County, Ohio",214124,173231,7840,324,18216,75,2460,11978
"Erie County, Ohio",75622,62122,6807,195,481,11,815,5191
"Fairfield County, Ohio",158921,131676,13484,378,3093,35,1625,8630
"Fayette County, Ohio",28951,26523,543,69,171,11,235,1399
"Franklin County, Ohio",1323807,802685,299771,4564,74071,534,49083,93099
"Fulton County, Ohio",42713,38092,254,148,153,9,1349,2708
"Gallia County, Ohio",29220,27049,600,64,148,5,141,1213
"Geauga County, Ohio",95397,89422,1082,53,673,9,540,3618
"Greene County, Ohio",167966,137146,11486,432,5571,105,1817,11409
"Guernsey County, Ohio",38438,35898,535,94,154,8,184,1565
"Hamilton County, Ohio",830639,525850,209173,2244,25333,673,19713,47653
"Hancock County, Ohio",74920,66590,1431,149,1402,31,1292,4025
"Hardin County, Ohio",30696,28650,262,58,169,12,307,1238
"Harrison County, Ohio",14483,13456,241,19,40,6,44,677
"Henry County, Ohio",27662,25244,160,103,126,4,739,1286
"Highland County, Ohio",43317,40662,520,119,110,8,184,1714
"Hocking County, Ohio",28050,26595,140,50,71,0,90,1104
"Holmes County, Ohio",44223,43088,123,36,64,5,131,776
"Huron County, Ohio",58565,52412,605,201,221,14,1465,3647
"Jackson County, Ohio",32653,30956,159,107,105,1,97,1228
"Jefferson County, Ohio",65249,56954,3687,136,344,33,454,3641
"Knox County, Ohio",62721,58400,566,147,367,20,600,2621
"Lake County, Ohio",232603,199296,11022,546,3273,39,5604,12823
"Lawrence County, Ohio",58240,54258,1115,136,225,10,260,2236
"Licking County, Ohio",178519,154070,7213,452,5028,52,1930,9774
"Logan County, Ohio",46150,42049,677,99,327,14,451,2533
"Lorain County, Ohio",312964,247300,24863,920,3623,75,10177,26006
"Lucas County, Ohio",431279,295109,85081,1433,7185,136,10160,32175
"Madison County, Ohio",43824,38046,2686,72,256,4,673,2087
"Mahoning County, Ohio",228614,172721,34835,528,1981,77,5039,13433
"Marion County, Ohio",65359,56754,4107,193,362,16,827,3100
"Medina County, Ohio",182470,167082,2344,250,2212,34,1469,9079
"Meigs County, Ohio",22210,21250,153,50,23,0,90,644
"Mercer County, Ohio",42528,40057,204,82,189,566,339,1091
"Miami County, Ohio",108774,97622,2593,195,1644,21,1097,5602
"Monroe County, Ohio",13385,12945,19,12,21,3,30,355
"Montgomery County, Ohio",537309,365077,113728,1374,12814,258,10014,34044
"Morgan County, Ohio",13802,12568,405,20,24,4,71,710
"Morrow County, Ohio",34950,32933,159,88,90,8,234,1438
"Muskingum County, Ohio",86410,77309,3032,149,391,8,566,4955
"Noble County, Ohio",14115,12886,757,34,23,0,83,332
"Ottawa County, Ohio",40364,37275,358,78,174,7,482,1990
"Paulding County, Ohio",18806,17255,155,91,30,5,370,900
"Perry County, Ohio",35408,33710,90,100,67,0,113,1328
"Pickaway County, Ohio",58539,52734,2159,164,300,11,367,2804
"Pike County, Ohio",27088,25559,190,115,70,7,76,1071
"Portage County, Ohio",161791,139778,8037,277,3425,46,1280,8948
"Preble County, Ohio",40999,38857,186,91,162,4,170,1529
"Putnam County, Ohio",34451,32077,125,56,64,3,1006,1120
"Richland County, Ohio",124936,105139,11312,246,793,58,1024,6364
"Ross County, Ohio",77093,68104,4044,212,372,20,397,3944
"Sandusky County, Ohio",58896,50425,1886,197,202,8,1829,4349
"Scioto County, Ohio",74008,67925,2075,264,274,12,527,2931
"Seneca County, Ohio",55069,49358,1380,120,363,37,891,2920
"Shelby County, Ohio",48230,44280,849,98,451,29,455,2068
"Stark County, Ohio",374853,313356,29118,1148,3200,119,4060,23852
"Summit County, Ohio",540428,400818,79726,1050,22621,160,5379,30674
"Trumbull County, Ohio",201977,171062,17200,299,1107,26,1339,10944
"Tuscarawas County, Ohio",93263,85679,724,967,306,29,1727,3831
"Union County, Ohio",62784,53670,1300,120,4045,0,526,3123
"Van Wert County, Ohio",28931,26833,265,58,89,13,459,1214
"Vinton County, Ohio",12800,12258,51,19,22,0,19,431
"Warren County, Ohio",242337,200073,8288,407,17331,158,2610,13470
"Washington County, Ohio",59771,55950,605,126,312,11,315,2452
"Wayne County, Ohio",116894,107729,1786,197,966,40,1155,5021
