,county,labor_force,employed,unemployed,unemployed_pct,population,race_white,race_black,race_native,race_asian,race_islander,race_other,race_two_or_more
1824,"Merrimack County, New Hampshire",82622,77822,4800,5.8     ,153808,138454,2650,362,3026,64,1336,7916
1825,"Rockingham County, New Hampshire",185979,172832,13147,7.1     ,314176,285715,2278,460,6316,92,3787,15528
1826,"Strafford County, New Hampshire",73223,68613,4610,6.3     ,130889,115890,1513,310,4506,47,1367,7256
1827,"Sullivan County, New Hampshire",23105,21866,1239,5.4     ,43063,39420,203,155,405,6,311,2563
1828,"Atlantic County, New Jersey",121037,99546,21491,17.8     ,274534,156796,41519,1253,21784,342,27192,25648
1829,"Bergen County, New Jersey",477892,432189,45703,9.6     ,955732,543849,54831,4535,158630,217,96383,97287
1830,"Burlington County, New Jersey",230784,211788,18996,8.2     ,461860,303024,77749,1168,26235,303,16041,37340
1831,"Camden County, New Jersey",256048,230287,25761,10.1     ,523485,293198,101109,2468,32598,196,51285,42631
1832,"Cape May County, New Jersey",45492,39206,6286,13.8     ,95263,81536,3567,253,908,28,3296,5675
1833,"Cumberland County, New Jersey",66277,59148,7129,10.8     ,154152,74606,28581,2382,2108,19,28050,18406
1834,"Essex County, New Jersey",373943,330269,43674,11.7     ,863728,261487,335047,4604,47591,378,124085,90536
1835,"Gloucester County, New Jersey",151080,137052,14028,9.3     ,302294,230313,32992,727,9543,84,8134,20501
1836,"Hudson County, New Jersey",360498,322277,38221,10.6     ,724854,248561,79498,7388,124555,417,159950,104485
1837,"Hunterdon County, New Jersey",63295,58730,4565,7.2     ,128947,106790,3174,282,5714,23,4105,8859
1838,"Mercer County, New Jersey",205405,190150,15255,7.4     ,387340,178447,74993,2442,48537,206,49572,33143
1839,"Middlesex County, New Jersey",436329,398298,38031,8.7     ,863162,361742,84360,4614,228813,340,105028,78265
1840,"Monmouth County, New Jersey",327712,298748,28964,8.8     ,643615,476056,41124,2361,36316,163,36259,51336
1841,"Morris County, New Jersey",252588,232958,19630,7.8     ,509285,354824,16669,1632,58034,127,31260,46739
1842,"Ocean County, New Jersey",278413,252016,26397,9.5     ,637229,534036,19079,2257,11526,129,27850,42352
1843,"Passaic County, New Jersey",245187,214293,30894,12.6     ,524118,229573,57809,6383,30852,195,134687,64619
1844,"Salem County, New Jersey",29532,26715,2817,9.5     ,64837,46600,9534,342,667,13,3004,4677
1845,"Somerset County, New Jersey",167938,154873,13065,7.8     ,345361,185499,31842,1520,67309,98,27854,31239
1846,"Sussex County, New Jersey",73836,66900,6936,9.4     ,144221,121879,3088,336,3002,20,4469,11427
1847,"Union County, New Jersey",276211,248871,27340,9.9     ,575345,236589,117306,4022,32434,200,105583,79211
1848,"Warren County, New Jersey",55670,50947,4723,8.5     ,109632,86875,5899,217,2934,35,4554,9118
1849,"Bernalillo County, New Mexico",330645,303820,26825,8.1     ,676444,353144,21344,38197,20253,794,100713,141999
1850,"Catron County, New Mexico",1159,1075,84,7.2     ,3579,2961,37,59,8,0,154,360
1851,"Chaves County, New Mexico",28106,25832,2274,8.1     ,65157,36649,1225,903,667,43,13399,12271
1852,"Cibola County, New Mexico",9120,8278,842,9.2     ,27172,8080,284,12240,209,18,2865,3476
1853,"Colfax County, New Mexico",5191,4824,367,7.1     ,12387,8137,36,211,61,18,1316,2608
1854,"Curry County, New Mexico",22292,21068,1224,5.5     ,48430,27928,2900,634,810,37,8211,7910
1855,"De Baca County, New Mexico",710,675,35,4.9     ,1698,1298,8,10,11,5,178,188
1856,"Eddy County, New Mexico",33700,31384,2316,6.9     ,62314,36266,977,922,597,61,11825,11666
1857,"Grant County, New Mexico",11893,10819,1074,9.0     ,28185,18266,309,588,202,21,3306,5493
1858,"Guadalupe County, New Mexico",1531,1428,103,6.7     ,4452,2067,74,62,50,0,842,1357
1859,"Harding County, New Mexico",276,264,12,4.3     ,657,428,4,7,0,0,46,172
1860,"Hidalgo County, New Mexico",1956,1842,114,5.8     ,4178,2655,14,40,14,7,475,973
1861,"Lea County, New Mexico",29545,26281,3264,11.0     ,74455,34303,2801,965,661,22,20145,15558
1862,"Lincoln County, New Mexico",8943,8154,789,8.8     ,20269,14263,88,591,162,13,1972,3180
1863,"Los Alamos County, New Mexico",9974,9603,371,3.7     ,19419,14513,167,157,1238,15,730,2599
1864,"Luna County, New Mexico",10372,8727,1645,15.9     ,25427,12797,304,344,175,20,5456,6331
1865,"McKinley County, New Mexico",24035,21557,2478,10.3     ,72902,7639,353,56941,948,36,3151,3834
1866,"Mora County, New Mexico",2064,1898,166,8.0     ,4189,2020,14,112,16,0,705,1322
1867,"Otero County, New Mexico",25696,23556,2140,8.3     ,67839,38167,2662,4981,1056,183,8371,12419
1868,"Quay County, New Mexico",3099,2870,229,7.4     ,8746,6181,110,137,49,9,1004,1256
1869,"Rio Arriba County, New Mexico",16816,15455,1361,8.1     ,40363,13865,206,6929,256,13,8553,10541
1870,"Roosevelt County, New Mexico",7934,7443,491,6.2     ,19191,11910,504,244,189,18,3220,3106
1871,"Sandoval County, New Mexico",66325,60627,5698,8.6     ,148834,81521,3327,18314,2545,265,15768,27094
1872,"San Juan County, New Mexico",50367,45321,5046,10.0     ,121661,50416,714,50021,916,71,8456,11067
1873,"San Miguel County, New Mexico",10516,9646,870,8.3     ,27201,12382,344,546,156,2,5691,8080
1874,"Santa Fe County, New Mexico",71346,65455,5891,8.3     ,154823,88915,1412,5558,2367,128,22348,34095
1875,"Sierra County, New Mexico",4127,3749,378,9.2     ,11576,8815,93,241,125,3,855,1444
1876,"Socorro County, New Mexico",6248,5805,443,7.1     ,16595,8099,176,2185,311,8,2629,3187
1877,"Taos County, New Mexico",14967,13238,1729,11.6     ,34489,19084,173,2289,210,15,5130,7588
1878,"Torrance County, New Mexico",5365,4854,511,9.5     ,15045,9801,133,387,54,11,2332,2327
1879,"Union County, New Mexico",1653,1569,84,5.1     ,4079,2712,66,84,7,4,368,838
1880,"Valencia County, New Mexico",30167,27681,2486,8.2     ,76205,39446,973,3253,446,58,14219,17810
1881,"Albany County, New York",157326,146027,11299,7.2     ,314848,215496,43206,845,24473,183,8873,21772
1882,"Allegany County, New York",19038,17502,1536,8.1     ,46456,42555,829,91,379,9,678,1915
1883,"Bronx County, New York",589087,494651,94436,16.0     ,1472654,207573,487118,21539,69559,1640,493052,192173
1884,"Broome County, New York",81897,74798,7099,8.7     ,198683,158674,12684,556,9372,84,3975,13338
1885,"Cattaraugus County, New York",33142,30022,3120,9.4     ,77042,68128,1043,2706,567,14,571,4013
1886,"Cayuga County, New York",35417,32618,2799,7.9     ,76248,67017,2910,310,385,54,1033,4539
1887,"Chautauqua County, New York",52729,48027,4702,8.9     ,127657,109333,3354,673,818,57,4278,9144
1888,"Chemung County, New York",35430,32328,3102,8.8     ,84148,70463,5315,240,1432,15,947,5736
1889,"Chenango County, New York",21760,20261,1499,6.9     ,47220,43531,357,126,245,15,353,2593
1890,"Clinton County, New York",35447,32623,2824,8.0     ,79843,70142,3060,285,975,26,1010,4345
1891,"Columbia County, New York",30309,28431,1878,6.2     ,61570,51533,2557,188,1431,21,1584,4256
1892,"Cortland County, New York",22453,20668,1785,7.9     ,46809,41250,895,124,1028,15,825,2672
1893,"Delaware County, New York",18614,17274,1340,7.2     ,44308,39466,1072,145,489,10,651,2475
1894,"Dutchess County, New York",142061,131173,10888,7.7     ,295911,207251,32289,1312,10781,74,18380,25824
1895,"Erie County, New York",439291,397536,41755,9.5     ,954236,693563,134795,5594,46384,280,21804,51816
1896,"Essex County, New York",16518,15174,1344,8.1     ,37381,34102,676,78,229,12,306,1978
1897,"Franklin County, New York",19197,17622,1575,8.2     ,47555,39036,1848,4141,191,0,483,1856
1898,"Fulton County, New York",22509,20569,1940,8.6     ,53324,47775,1068,121,349,4,688,3319
1899,"Genesee County, New York",28962,26833,2129,7.4     ,58388,51541,1441,419,416,17,1421,3133
1900,"Greene County, New York",20281,18598,1683,8.3     ,47931,40490,2370,161,506,7,948,3449
1901,"Hamilton County, New York",2141,1972,169,7.9     ,5107,4785,31,14,12,1,22,242
1902,"Herkimer County, New York",27477,25227,2250,8.2     ,60139,55246,759,108,370,35,382,3239
1903,"Jefferson County, New York",43295,39542,3753,8.7     ,116721,96244,6707,594,2248,309,2341,8278
1904,"Kings County, New York",1151130,1006852,144278,12.5     ,2736074,1028774,772050,20598,373680,1487,302186,237299
1905,"Lewis County, New York",11389,10515,874,7.7     ,26582,25121,109,57,76,11,184,1024
1906,"Livingston County, New York",29831,27727,2104,7.1     ,61834,55442,1191,145,657,6,995,3398
1907,"Madison County, New York",32437,29908,2529,7.8     ,68016,61504,1120,466,679,11,517,3719
1908,"Monroe County, New York",359299,328525,30774,8.6     ,759443,521127,118879,2094,32630,270,30359,54084
1909,"Montgomery County, New York",22032,20098,1934,8.8     ,49532,40209,1267,159,489,20,2935,4453
1910,"Nassau County, New York",698942,640035,58907,8.4     ,1395774,817196,153274,6219,164201,435,137138,117311
1911,"New York County, New York",859618,777583,82035,9.5     ,1694251,847604,229361,9969,221995,1795,208086,175441
1912,"Niagara County, New York",98105,87906,10199,10.4     ,212666,175821,16740,2428,2459,47,2807,12364
1913,"Oneida County, New York",100648,92473,8175,8.1     ,232125,185042,16184,692,10626,93,5967,13521
1914,"Onondaga County, New York",220483,202037,18446,8.4     ,476516,353232,56947,3364,20235,138,9913,32687
1915,"Ontario County, New York",54401,50447,3954,7.3     ,112458,98880,2662,265,1383,24,2647,6597
1916,"Orange County, New York",183265,167957,15308,8.4     ,401310,248085,45543,2949,12025,185,52023,40500
1917,"Orleans County, New York",17146,15713,1433,8.4     ,40343,34643,1951,223,154,13,922,2437
1918,"Oswego County, New York",52209,47549,4660,8.9     ,117525,107264,1584,508,871,31,1003,6264
1919,"Otsego County, New York",26607,24686,1921,7.2     ,58524,52403,1286,121,827,11,748,3128
1920,"Putnam County, New York",50079,46294,3785,7.6     ,97668,75406,2828,425,2225,25,7312,9447
1921,"Queens County, New York",1098937,961214,137723,12.5     ,2405464,621475,403077,30513,660631,1718,444686,243364
1922,"Rensselaer County, New York",80795,75155,5640,7.0     ,161130,126828,12872,441,5776,25,3062,12126
1923,"Richmond County, New York",211064,188608,22456,10.6     ,495747,295519,52039,3599,59279,234,46257,38820
1924,"Rockland County, New York",152903,140547,12356,8.1     ,338329,214890,35542,1716,20685,110,38086,27300
1925,"St. Lawrence County, New York",42854,39353,3501,8.2     ,108505,97530,3074,1194,1105,34,1005,4563
1926,"Saratoga County, New York",119009,111029,7980,6.7     ,235509,206278,4047,438,7494,68,2603,14581
1927,"Schenectady County, New York",76925,70723,6202,8.1     ,158061,107493,17322,1125,8354,145,8463,15159
1928,"Schoharie County, New York",14440,13412,1028,7.1     ,29714,27112,305,83,211,3,304,1696
1929,"Schuyler County, New York",8008,7319,689,8.6     ,17898,16750,101,50,108,1,93,795
1930,"Seneca County, New York",15214,13970,1244,8.2     ,33814,29737,1414,162,269,3,454,1775
1931,"Steuben County, New York",42022,38592,3430,8.2     ,93584,84953,1469,234,1633,12,665,4618
1932,"Suffolk County, New York",764564,699613,64951,8.5     ,1525920,1022846,114294,9188,65779,427,166174,147212
1933,"Sullivan County, New York",35758,32601,3157,8.8     ,78624,56040,6814,418,1597,29,6168,7558
1934,"Tioga County, New York",22142,20410,1732,7.8     ,48455,44557,452,75,379,18,399,2575
1935,"Tompkins County, New York",47929,44967,2962,6.2     ,105740,78657,4597,353,10532,47,2855,8699
1936,"Ulster County, New York",86186,79285,6901,8.0     ,181851,141728,11063,829,3860,63,8390,15918
1937,"Warren County, New York",30901,28308,2593,8.4     ,65737,59911,799,170,753,1,497,3606
1938,"Washington County, New York",27302,25348,1954,7.2     ,61302,55162,1715,174,326,23,703,3199
1939,"Wayne County, New York",42921,39749,3172,7.4     ,91283,80476,2562,263,487,15,1667,5813
1940,"Westchester County, New York",477959,437772,40187,8.4     ,1004457,533150,141094,7466,65707,339,146911,109790
1941,"Wyoming County, New York",17793,16457,1336,7.5     ,40531,36046,1999,98,218,6,594,1570
1942,"Yates County, New York",11546,10794,752,6.5     ,24774,23264,161,49,93,10,250,947
1943,"Alamance County, North Carolina",80457,74625,5832,7.2     ,171415,105847,34014,1427,2848,105,15439,11735
1944,"Alexander County, North Carolina",17694,16377,1317,7.4     ,36444,31284,1932,144,392,5,1009,1678
1945,"Alleghany County, North Carolina",4210,3903,307,7.3     ,10888,9544,104,47,15,6,602,570
1946,"Anson County, North Carolina",10422,9617,805,7.7     ,22055,10692,9871,106,221,7,443,715
1947,"Ashe County, North Carolina",12664,11878,786,6.2     ,26577,24435,127,77,103,12,723,1100
1948,"Avery County, North Carolina",7287,6825,462,6.3     ,17806,15746,664,89,63,1,547,696
1949,"Beaufort County, North Carolina",19387,18159,1228,6.3     ,44652,29817,10303,168,166,16,2352,1830
1950,"Bertie County, North Carolina",7618,7132,486,6.4     ,17934,6339,10720,63,63,6,207,536
1951,"Bladen County, North Carolina",14485,13439,1046,7.2     ,29606,16102,9576,799,48,11,1792,1278
1952,"Brunswick County, North Carolina",52246,47641,4605,8.8     ,136693,112307,11546,895,910,92,3554,7389
1953,"Buncombe County, North Carolina",136480,125114,11366,8.3     ,269452,218867,15311,1243,3322,496,11249,18964
1954,"Burke County, North Carolina",39888,37019,2869,7.2     ,87570,69671,4854,1337,3168,70,3829,4641
1955,"Cabarrus County, North Carolina",108444,100873,7571,7.0     ,225804,137756,42622,1133,11984,137,14863,17309
1956,"Caldwell County, North Carolina",35754,32931,2823,7.9     ,80652,68859,3914,340,544,16,2521,4458
1957,"Camden County, North Carolina",4574,4323,251,5.5     ,10355,8312,1055,49,119,2,122,696
1958,"Carteret County, North Carolina",31320,29373,1947,6.2     ,67686,58255,3274,312,594,63,1417,3771
1959,"Caswell County, North Carolina",9621,8869,752,7.8     ,22736,14232,6824,85,64,22,553,956
1960,"Catawba County, North Carolina",77852,71632,6220,8.0     ,160610,118946,12835,1023,7023,94,9488,11201
1961,"Chatham County, North Carolina",35248,33338,1910,5.4     ,76285,54431,7914,471,1627,37,6343,5462
1962,"Cherokee County, North Carolina",10952,10084,868,7.9     ,28774,25640,381,436,158,0,327,1832
1963,"Chowan County, North Carolina",5476,5140,336,6.1     ,13708,8351,4408,47,40,1,302,559
1964,"Clay County, North Carolina",4079,3778,301,7.4     ,11089,10150,65,44,40,9,177,604
1965,"Cleveland County, North Carolina",48435,44634,3801,7.8     ,99519,71076,20159,277,861,25,2091,5030
1966,"Columbus County, North Carolina",22501,20662,1839,8.2     ,50623,30380,14586,1732,161,14,1771,1979
1967,"Craven County, North Carolina",40820,38121,2699,6.6     ,100720,66703,20204,413,3093,167,3003,7137
1968,"Cumberland County, North Carolina",126387,114386,12001,9.5     ,334728,141912,127610,5556,9173,1454,15833,33190
1969,"Currituck County, North Carolina",13851,12976,875,6.3     ,28100,23878,1392,118,275,27,407,2003
1970,"Dare County, North Carolina",19548,17636,1912,9.8     ,36915,32429,703,181,265,10,1166,2161
1971,"Davidson County, North Carolina",78916,73311,5605,7.1     ,168930,131922,16065,1018,2468,50,7791,9616
1972,"Davie County, North Carolina",20079,18709,1370,6.8     ,42712,35340,2428,207,280,7,1913,2537
1973,"Duplin County, North Carolina",24812,23420,1392,5.6     ,48715,26084,11604,488,173,14,7210,3142
1974,"Durham County, North Carolina",170422,159304,11118,6.5     ,324833,139231,110610,2285,16817,131,32046,23713
1975,"Edgecombe County, North Carolina",20702,18511,2191,10.6     ,48900,17631,27429,194,113,12,1867,1654
1976,"Forsyth County, North Carolina",184149,170449,13700,7.4     ,382590,214877,95324,2528,9280,285,32196,28100
1977,"Franklin County, North Carolina",31029,28909,2120,6.8     ,68573,43473,15990,491,465,24,4131,3999
1978,"Gaston County, North Carolina",109526,100744,8782,8.0     ,227943,156794,40323,1082,3543,74,11018,15109
1979,"Gates County, North Carolina",5069,4779,290,5.7     ,10478,6762,3023,71,25,12,87,498
1980,"Graham County, North Carolina",3077,2772,305,9.9     ,8030,6913,50,590,22,5,97,353
1981,"Granville County, North Carolina",29566,27832,1734,5.9     ,60992,34579,18435,370,370,36,3926,3276
1982,"Greene County, North Carolina",9551,9012,539,5.6     ,20451,9992,7250,185,37,12,2095,880
1983,"Guilford County, North Carolina",256997,234933,22064,8.6     ,541299,263428,181848,3183,28922,265,28722,34931
1984,"Halifax County, North Carolina",20081,18237,1844,9.2     ,48622,19304,24846,1667,284,11,856,1654
1985,"Harnett County, North Carolina",52873,48916,3957,7.5     ,133568,81867,27417,1423,1494,274,9481,11612
1986,"Haywood County, North Carolina",28663,26503,2160,7.5     ,62089,56440,663,363,370,1,1230,3022
1987,"Henderson County, North Carolina",52454,48836,3618,6.9     ,116281,94151,3388,565,1347,629,8394,7807
1988,"Hertford County, North Carolina",9016,8389,627,7.0     ,21552,7622,12393,206,123,3,466,739
1989,"Hoke County, North Carolina",19759,18049,1710,8.7     ,52082,21031,16766,4063,750,213,3730,5529
1990,"Hyde County, North Carolina",1797,1614,183,10.2     ,4589,2956,1169,10,7,2,216,229
1991,"Iredell County, North Carolina",88855,82336,6519,7.3     ,186693,139369,21678,711,4785,82,7612,12456
1992,"Jackson County, North Carolina",19785,18286,1499,7.6     ,43109,33426,856,4098,512,10,1663,2544
1993,"Johnston County, North Carolina",98297,92056,6241,6.3     ,215999,142425,33730,1767,1886,103,18150,17938
1994,"Jones County, North Carolina",4199,3957,242,5.8     ,9172,5867,2579,61,34,5,208,418
1995,"Lee County, North Carolina",25965,23894,2071,8.0     ,63285,38413,10885,533,663,49,7418,5324
1996,"Lenoir County, North Carolina",27600,25892,1708,6.2     ,55122,27113,22195,182,336,31,2675,2590
1997,"Lincoln County, North Carolina",43262,40410,2852,6.6     ,86810,72716,4482,328,711,33,3004,5536
1998,"McDowell County, North Carolina",20555,19123,1432,7.0     ,44578,38356,1732,216,388,0,1777,2109
1999,"Macon County, North Carolina",15449,14416,1033,6.7     ,37014,32099,257,279,265,8,1770,2336
2000,"Madison County, North Carolina",9587,8926,661,6.9     ,21193,19373,215,71,87,3,325,1119
2001,"Martin County, North Carolina",8884,8267,617,6.9     ,22031,11624,8922,82,99,3,570,731
2002,"Mecklenburg County, North Carolina",617543,569616,47927,7.8     ,1115482,520567,330458,6700,72035,651,97581,87490
2003,"Mitchell County, North Carolina",5886,5427,459,7.8     ,14903,13663,53,30,54,1,357,745
2004,"Montgomery County, North Carolina",11328,10573,755,6.7     ,25751,16917,4226,139,393,9,2746,1321
2005,"Moore County, North Carolina",40734,37796,2938,7.2     ,99727,77010,10671,825,1264,60,3341,6556
2006,"Nash County, North Carolina",42129,38590,3539,8.4     ,94970,47378,36958,739,915,42,4675,4263
2007,"New Hanover County, North Carolina",120839,112078,8761,7.3     ,225702,170837,27386,1038,3515,154,8128,14644
2008,"Northampton County, North Carolina",7528,6978,550,7.3     ,17471,6915,9689,48,27,4,214,574
2009,"Onslow County, North Carolina",63899,59276,4623,7.2     ,204576,137072,28026,1460,4729,825,10196,22268
2010,"Orange County, North Carolina",77808,73636,4172,5.4     ,148696,99091,15848,851,12674,51,8092,12089
2011,"Pamlico County, North Carolina",5242,4947,295,5.6     ,12276,9216,2061,58,62,8,243,628
2012,"Pasquotank County, North Carolina",16517,15306,1211,7.3     ,40568,22019,14478,213,470,30,1029,2329
2013,"Pender County, North Carolina",28001,26157,1844,6.6     ,60203,45305,7619,354,342,31,2834,3718
2014,"Perquimans County, North Carolina",4845,4521,324,6.7     ,13005,9412,2715,39,39,10,136,654
2015,"Person County, North Carolina",18098,16766,1332,7.4     ,39097,25554,9937,281,125,8,1256,1936
2016,"Pitt County, North Carolina",87450,81504,5946,6.8     ,170243,88790,60414,711,3078,106,7779,9365
2017,"Polk County, North Carolina",8948,8392,556,6.2     ,19328,16934,698,81,60,14,446,1095
2018,"Randolph County, North Carolina",63993,59268,4725,7.4     ,144171,111459,8748,1150,2173,16,10775,9850
2019,"Richmond County, North Carolina",16733,15200,1533,9.2     ,42946,23969,12881,1041,364,20,2217,2454
2020,"Robeson County, North Carolina",49951,45531,4420,8.8     ,116530,30041,26424,44871,908,79,8192,6015
2021,"Rockingham County, North Carolina",38983,35723,3260,8.4     ,91096,65434,16789,441,500,30,3248,4654
2022,"Rowan County, North Carolina",65083,59909,5174,7.9     ,146875,102693,23012,761,1522,88,9003,9796
2023,"Rutherford County, North Carolina",24588,22307,2281,9.3     ,64444,52808,5903,224,348,25,1506,3630
2024,"Sampson County, North Carolina",28498,26837,1661,5.8     ,59036,31254,14130,1294,231,22,8500,3605
2025,"Scotland County, North Carolina",11407,10034,1373,12.0     ,34174,14402,13162,3745,343,15,718,1789
2026,"Stanly County, North Carolina",29630,27757,1873,6.3     ,62504,49149,7079,275,1145,9,1881,2966
2027,"Stokes County, North Carolina",20991,19638,1353,6.4     ,44520,39966,1644,181,159,13,628,1929
2028,"Surry County, North Carolina",32640,30404,2236,6.9     ,71359,59307,2486,314,378,16,4754,4104
2029,"Swain County, North Carolina",6939,6351,588,8.5     ,14117,8638,108,4171,54,14,224,908
2030,"Transylvania County, North Carolina",14146,13278,868,6.1     ,32986,28957,1037,125,173,22,848,1824
2031,"Tyrrell County, North Carolina",1359,1238,121,8.9     ,3245,1903,938,5,43,0,154,202
2032,"Union County, North Carolina",121173,113926,7247,6.0     ,238267,165562,26981,1215,9572,122,16335,18480
2033,"Vance County, North Carolina",17119,15388,1731,10.1     ,42578,16682,21237,161,286,11,2493,1708
2034,"Wake County, North Carolina",584088,546490,37598,6.4     ,1129410,663832,208493,5756,97042,572,68297,85418
2035,"Warren County, North Carolina",6560,5919,641,9.8     ,18642,7253,9114,978,62,4,509,722
2036,"Washington County, North Carolina",4392,4034,358,8.2     ,11003,4999,5375,23,37,9,223,337
2037,"Watauga County, North Carolina",27997,26261,1736,6.2     ,54086,45726,2149,131,945,19,2161,2955
2038,"Wayne County, North Carolina",50708,47430,3278,6.5     ,117333,62452,35795,682,1580,77,9153,7594
2039,"Wilkes County, North Carolina",28483,26544,1939,6.8     ,65969,57105,2634,218,325,11,2725,2951
2040,"Wilson County, North Carolina",34442,31380,3062,8.9     ,78784,37341,30097,489,900,25,5661,4271
2041,"Yadkin County, North Carolina",17305,16074,1231,7.1     ,37214,30842,1136,203,143,0,2855,2035
2042,"Yancey County, North Carolina",8189,7649,540,6.6     ,18470,16866,108,82,40,3,503,868
2043,"Adams County, North Dakota",999,961,38,3.8     ,2200,2039,13,14,39,1,11,83
2044,"Barnes County, North Dakota",5165,4965,200,3.9     ,10853,10025,186,103,69,3,73,394
2045,"Benson County, North Dakota",2322,2165,157,6.8     ,5964,2542,7,3216,7,2,20,170
2046,"Billings County, North Dakota",438,422,16,3.7     ,945,911,4,5,6,0,0,19
2047,"Bottineau County, North Dakota",2959,2800,159,5.4     ,6379,5754,31,217,42,1,41,293
2048,"Bowman County, North Dakota",1639,1584,55,3.4     ,2993,2793,0,37,17,3,38,105
2049,"Burke County, North Dakota",1022,968,54,5.3     ,2201,2082,13,25,12,0,15,54
2050,"Burleigh County, North Dakota",50588,48386,2202,4.4     ,98458,85148,2283,4257,1054,317,1114,4285
2051,"Cass County, North Dakota",104926,100334,4592,4.4     ,184525,151307,12963,2614,6068,101,1994,9478
2052,"Cavalier County, North Dakota",1911,1845,66,3.5     ,3704,3504,3,28,16,0,22,131
2053,"Dickey County, North Dakota",2318,2241,77,3.3     ,4999,4628,28,28,30,0,78,207
2054,"Divide County, North Dakota",1418,1373,45,3.2     ,2195,2054,23,19,11,4,5,79
2055,"Dunn County, North Dakota",3097,2956,141,4.6     ,4095,3277,25,457,33,0,40,263
2056,"Eddy County, North Dakota",1206,1149,57,4.7     ,2347,2109,5,65,2,0,33,133
2057,"Emmons County, North Dakota",1493,1419,74,5.0     ,3301,3179,0,13,12,0,10,87
2058,"Foster County, North Dakota",1555,1501,54,3.5     ,3397,3212,8,20,15,0,30,112
2059,"Golden Valley County, North Dakota",853,826,27,3.2     ,1736,1620,5,12,1,1,6,91
2060,"Grand Forks County, North Dakota",36730,35031,1699,4.6     ,73170,60056,3065,1810,2495,59,1006,4679
2061,"Grant County, North Dakota",1189,1156,33,2.8     ,2301,2176,10,34,11,0,2,68
2062,"Griggs County, North Dakota",1014,983,31,3.1     ,2306,2205,8,12,7,0,6,68
2063,"Hettinger County, North Dakota",1392,1337,55,4.0     ,2489,2327,5,45,7,7,10,88
2064,"Kidder County, North Dakota",1284,1218,66,5.1     ,2394,2278,3,12,2,6,29,64
2065,"LaMoure County, North Dakota",2055,2001,54,2.6     ,4093,3923,14,26,9,4,32,85
2066,"Logan County, North Dakota",854,827,27,3.2     ,1876,1778,2,14,0,0,16,66
2067,"McHenry County, North Dakota",3088,2919,169,5.5     ,5345,5054,11,27,13,6,26,208
2068,"McIntosh County, North Dakota",1097,1061,36,3.3     ,2530,2390,7,7,23,0,29,74
2069,"McKenzie County, North Dakota",9367,8659,708,7.6     ,14704,10638,218,1894,171,5,709,1069
2070,"McLean County, North Dakota",4789,4573,216,4.5     ,9771,8405,32,808,48,7,36,435
2071,"Mercer County, North Dakota",3616,3408,208,5.8     ,8350,7622,42,200,44,1,75,366
2072,"Morton County, North Dakota",16746,15896,850,5.1     ,33291,29150,466,1323,175,40,508,1629
2073,"Mountrail County, North Dakota",6880,6526,354,5.1     ,9809,5706,113,2840,105,3,244,798
2074,"Nelson County, North Dakota",1398,1335,63,4.5     ,3015,2863,6,26,9,1,23,87
2075,"Oliver County, North Dakota",882,836,46,5.2     ,1877,1757,3,24,5,3,13,72
2076,"Pembina County, North Dakota",3386,3190,196,5.8     ,6844,6173,29,135,27,0,76,404
2077,"Pierce County, North Dakota",1710,1637,73,4.3     ,3990,3637,38,146,17,5,27,120
2078,"Ramsey County, North Dakota",5703,5447,256,4.5     ,11605,9438,73,1276,72,10,72,664
2079,"Ransom County, North Dakota",2867,2749,118,4.1     ,5703,5400,38,18,25,0,53,169
2080,"Renville County, North Dakota",1225,1165,60,4.9     ,2282,2161,5,15,1,0,7,93
2081,"Richland County, North Dakota",8580,8248,332,3.9     ,16529,14874,155,467,128,23,244,638
2082,"Rolette County, North Dakota",4743,4106,637,13.4     ,12187,2319,17,9278,25,8,17,523
2083,"Sargent County, North Dakota",2770,2649,121,4.4     ,3862,3599,50,13,14,0,28,158
2084,"Sheridan County, North Dakota",685,644,41,6.0     ,1265,1191,2,11,8,0,5,48
2085,"Sioux County, North Dakota",1205,1158,47,3.9     ,3898,401,3,3332,2,0,5,155
2086,"Slope County, North Dakota",391,379,12,3.1     ,706,680,3,2,0,0,0,21
2087,"Stark County, North Dakota",18332,17024,1308,7.1     ,33646,28924,1050,469,356,56,928,1863
2088,"Steele County, North Dakota",949,921,28,3.0     ,1798,1732,3,7,0,4,5,47
2089,"Stutsman County, North Dakota",10495,10131,364,3.5     ,21593,19722,456,301,137,4,190,783
2090,"Towner County, North Dakota",1157,1125,32,2.8     ,2162,1987,2,71,10,1,14,77
2091,"Traill County, North Dakota",4458,4296,162,3.6     ,7997,7410,48,74,18,4,83,360
2092,"Walsh County, North Dakota",5135,4902,233,4.5     ,10563,9085,71,145,47,0,416,799
2093,"Ward County, North Dakota",31847,29948,1899,6.0     ,69919,57038,3024,1706,1120,133,1380,5518
2094,"Wells County, North Dakota",1920,1836,84,4.4     ,3982,3801,18,17,12,0,11,123
2095,"Williams County, North Dakota",23001,20796,2205,9.6     ,40950,31854,2096,1199,636,101,1527,3537
2096,"Adams County, Ohio",10981,9968,1013,9.2     ,27477,26277,84,78,39,1,79,919
2097,"Allen County, Ohio",48303,44181,4122,8.5     ,102206,80753,12573,300,840,53,1450,6237
2098,"Ashland County, Ohio",26492,24783,1709,6.5     ,52447,49249,394,114,322,33,285,2050
