,county,labor_force,employed,unemployed,unemployed_pct,population,race_white,race_black,race_native,race_asian,race_islander,race_other,race_two_or_more
1367,"Wexford County, Michigan",14918,13402,1516,10.2     ,33673,31124,193,178,186,1,230,1761
1368,"Aitkin County, Minnesota",7487,6884,603,8.1     ,15697,14538,62,395,38,1,64,599
1369,"Anoka County, Minnesota",198304,185714,12590,6.3     ,363887,280171,28657,2531,19257,105,9597,23569
1370,"Becker County, Minnesota",18817,17644,1173,6.2     ,35183,29818,203,2468,162,22,189,2321
1371,"Beltrami County, Minnesota",24865,23306,1559,6.3     ,46228,32794,543,9418,280,18,272,2903
1372,"Benton County, Minnesota",22062,20597,1465,6.6     ,41379,36145,2022,232,466,9,495,2010
1373,"Big Stone County, Minnesota",2517,2398,119,4.7     ,5166,4832,29,49,17,4,77,158
1374,"Blue Earth County, Minnesota",40363,38182,2181,5.4     ,69112,58205,3970,292,1841,33,1248,3523
1375,"Brown County, Minnesota",14270,13539,731,5.1     ,25912,24321,128,51,127,6,401,878
1376,"Carlton County, Minnesota",17715,16435,1280,7.2     ,36207,31151,562,2217,153,12,165,1947
1377,"Carver County, Minnesota",58673,55626,3047,5.2     ,106922,92448,2208,291,3641,18,2485,5831
1378,"Cass County, Minnesota",14206,12905,1301,9.2     ,30066,24801,73,3512,111,0,157,1412
