,istech,area_title,tot_emp,jobs_1000,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
84,0,"Columbia, SC",666360,1137,585841,32,62972,64090,129762,83182,137308,53519,181070,14935,315859,206367,31817,1029,626,13816,1392
85,1,"Columbia, SC",39850,68,585841,32,62972,64090,129762,83182,137308,53519,181070,14935,315859,206367,31817,1029,626,13816,1392
86,0,"Columbus, IN",68520,961,71264,38,76589,5988,13931,9833,22889,6648,17984,5064,58786,1340,4547,193,64,1145,125
87,1,"Columbus, IN",6130,86,71264,38,76589,5988,13931,9833,22889,6648,17984,5064,58786,1340,4547,193,64,1145,125
88,0,"Columbus, OH",1799790,1792,1004592,34,80418,126730,280397,176140,214676,84941,248486,59185,673600,188642,45677,1547,368,32947,2626
89,1,"Columbus, OH",141780,141,1004592,34,80418,126730,280397,176140,214676,84941,248486,59185,673600,188642,45677,1547,368,32947,2626
90,0,"Corpus Christi, TX",322710,942,342501,35,65948,41990,46725,25807,100446,58944,110426,6965,108077,12998,209930,812,227,3294,198
91,1,"Corpus Christi, TX",12500,36,342501,35,65948,41990,46725,25807,100446,58944,110426,6965,108077,12998,209930,812,227,3294,198
92,0,"Corvallis, OR",50120,750,66792,26,48327,5767,19682,19588,7727,2424,17324,5486,53119,697,4735,279,202,2233,41
93,1,"Corvallis, OR",4250,64,66792,26,48327,5767,19682,19588,7727,2424,17324,5486,53119,697,4735,279,202,2233,41
94,0,"Dalton, GA",106340,1175,90476,36,71075,13643,8409,4157,25748,30132,22023,1311,50124,3694,34397,136,0,758,56
95,1,"Dalton, GA",3830,42,90476,36,71075,13643,8409,4157,25748,30132,22023,1311,50124,3694,34397,136,0,758,56
96,0,"Danbury, CT",116700,920,126851,41,133898,8910,30664,22956,29998,16730,26435,6806,80699,5640,28353,178,49,1989,3137
97,1,"Danbury, CT",3660,29,126851,41,133898,8910,30664,22956,29998,16730,26435,6806,80699,5640,28353,178,49,1989,3137
98,0,"Danville, IL",41420,1105,37475,41,53493,8004,3833,1649,15043,5276,11634,565,24553,9528,1981,39,19,747,43
99,1,"Danville, IL",1660,44,37475,41,53493,8004,3833,1649,15043,5276,11634,565,24553,9528,1981,39,19,747,43
100,0,"Dayton, OH",621670,1898,327623,37,55331,59898,44890,31930,94143,40525,115975,5384,206038,92817,10942,984,60,10780,618
101,1,"Dayton, OH",49460,151,327623,37,55331,59898,44890,31930,94143,40525,115975,5384,206038,92817,10942,984,60,10780,618
102,0,"Decatur, AL",92310,309,298341,39,63150,46902,46779,20418,88083,47769,95031,2271,214026,44364,29472,1866,165,5916,261
103,1,"Decatur, AL",3090,10,298341,39,63150,46902,46779,20418,88083,47769,95031,2271,214026,44364,29472,1866,165,5916,261
104,0,"Decatur, IL",71320,1243,57384,40,69005,10038,7903,4750,18822,6985,18881,771,41838,9340,1229,230,5,3915,56
105,1,"Decatur, IL",2810,49,57384,40,69005,10038,7903,4750,18822,6985,18881,771,41838,9340,1229,230,5,3915,56
106,0,"Dothan, AL",98640,307,321600,38,61655,46425,42963,26166,101004,45393,106131,2631,213606,87402,10542,1023,48,6159,189
107,1,"Dothan, AL",2800,9,321600,38,61655,46425,42963,26166,101004,45393,106131,2631,213606,87402,10542,1023,48,6159,189
108,0,"Dover, DE",101190,2859,35390,28,36671,3465,5524,4410,10128,4200,11127,1043,19251,11048,2382,350,9,1290,17
109,1,"Dover, DE",1800,51,35390,28,36671,3465,5524,4410,10128,4200,11127,1043,19251,11048,2382,350,9,1290,17
110,0,"Dubuque, IA",93100,1195,77928,38,91574,6724,16209,8735,24056,6133,22816,1192,70401,2713,1650,28,357,1465,122
111,1,"Dubuque, IA",5560,71,77928,38,91574,6724,16209,8735,24056,6133,22816,1192,70401,2713,1650,28,357,1465,122
112,0,"Eau Claire, WI",139740,1459,95800,35,69968,6496,19692,10395,24233,5782,35736,3888,86154,802,2303,359,410,1840,44
113,1,"Eau Claire, WI",5570,58,95800,35,69968,6496,19692,10395,24233,5782,35736,3888,86154,802,2303,359,410,1840,44
114,0,"El Centro, CA",99140,1363,72728,31,79244,11477,7882,4371,16035,19939,24446,1374,9032,2234,58972,189,58,800,69
115,1,"El Centro, CA",3000,41,72728,31,79244,11477,7882,4371,16035,19939,24446,1374,9032,2234,58972,189,58,800,69
116,0,"El Paso, TX",546210,812,672806,31,54137,125448,103559,50738,162689,151142,204567,7868,92324,20777,542460,2118,537,6313,409
117,1,"El Paso, TX",20840,31,672806,31,54137,125448,103559,50738,162689,151142,204567,7868,92324,20777,542460,2118,537,6313,409
118,0,"Elmira, NY",53870,1094,49250,40,62022,9029,5661,4676,18351,5892,14665,314,40537,4339,1798,357,7,1834,64
119,1,"Elmira, NY",1660,34,49250,40,62022,9029,5661,4676,18351,5892,14665,314,40537,4339,1798,357,7,1834,64
120,0,"Enid, OK",36650,650,56420,33,46639,6140,8023,4553,20218,7055,16538,480,41992,1891,6994,1001,1753,2293,16
121,1,"Enid, OK",1460,26,56420,33,46639,6140,8023,4553,20218,7055,16538,480,41992,1891,6994,1001,1753,2293,16
122,0,"Erie, PA",203320,1415,143650,36,46633,22484,25627,13234,54860,16062,33820,3072,112712,15136,7953,411,27,3925,414
123,1,"Erie, PA",8680,60,143650,36,46633,22484,25627,13234,54860,16062,33820,3072,112712,15136,7953,411,27,3925,414
124,0,"Eugene, OR",261260,1101,237189,35,70104,25657,49737,36336,48221,17252,85735,8127,190974,3372,21287,1734,684,10499,512
125,1,"Eugene, OR",14960,63,237189,35,70104,25657,49737,36336,48221,17252,85735,8127,190974,3372,21287,1734,684,10499,512
126,0,"Fairbanks, AK",50540,178,283536,31,90240,13314,59055,33090,61983,15507,113877,8184,201483,11514,21639,18273,1287,20814,342
127,1,"Fairbanks, AK",2680,9,283536,31,90240,13314,59055,33090,61983,15507,113877,8184,201483,11514,21639,18273,1287,20814,342
128,0,"Farmington, NM",76600,2644,28973,42,73182,2393,3071,2161,9007,3407,11333,155,19392,160,6486,2067,63,622,28
129,1,"Farmington, NM",2120,73,28973,42,73182,2393,3071,2161,9007,3407,11333,155,19392,160,6486,2067,63,622,28
130,0,"Fayetteville, NC",216020,731,295591,31,57940,44365,48364,24830,74581,26514,121377,7633,126804,108439,34892,2743,776,13557,747
131,1,"Fayetteville, NC",9370,32,295591,31,57940,44365,48364,24830,74581,26514,121377,7633,126804,108439,34892,2743,776,13557,747
132,0,"Flagstaff, AZ",89030,498,178952,27,56175,14778,44064,34302,26008,10780,63856,4288,118828,3024,32190,14606,286,5412,318
133,1,"Flagstaff, AZ",4570,26,178952,27,56175,14778,44064,34302,26008,10780,63856,4288,118828,3024,32190,14606,286,5412,318
134,0,"Flint, MI",209290,1257,166495,35,42213,48463,14132,7063,59095,24182,61910,887,83796,67665,6374,1040,26,6490,217
135,1,"Flint, MI",7610,46,166495,35,42213,48463,14132,7063,59095,24182,61910,887,83796,67665,6374,1040,26,6490,217
136,0,"Florence, SC",147310,1459,100962,38,64248,12700,16489,9179,31903,13051,30360,1550,54139,41143,2354,148,74,1472,82
137,1,"Florence, SC",5870,58,100962,38,64248,12700,16489,9179,31903,13051,30360,1550,54139,41143,2354,148,74,1472,82
138,0,"Fond du Lac, WI",64020,1043,61357,40,73212,4500,10617,4402,21674,4837,19700,1168,53463,1091,3962,364,0,1224,85
139,1,"Fond du Lac, WI",3520,57,61357,40,73212,4500,10617,4402,21674,4837,19700,1168,53463,1091,3962,364,0,1224,85
140,0,"Fort Collins, CO",267930,1971,135914,29,78648,8285,42284,29745,21179,4611,38005,3696,111278,2016,15004,768,109,2965,78
141,1,"Fort Collins, CO",11600,85,135914,29,78648,8285,42284,29745,21179,4611,38005,3696,111278,2016,15004,768,109,2965,78
142,0,"Fort Wayne, IN",364690,1094,333391,35,65033,41762,59301,31398,96910,36486,109210,12762,241712,41177,25667,589,126,10786,572
143,1,"Fort Wayne, IN",18200,55,333391,35,65033,41762,59301,31398,96910,36486,109210,12762,241712,41177,25667,589,126,10786,572
144,0,"Fresno, CA",683140,953,716825,32,68267,150676,104076,53879,159888,160377,238584,88642,238685,43470,324689,3153,1182,15570,1434
145,1,"Fresno, CA",22940,32,716825,32,68267,150676,104076,53879,159888,160377,238584,88642,238685,43470,324689,3153,1182,15570,1434
146,0,"Gadsden, AL",53140,224,237057,41,54095,36708,24138,16218,76968,41580,77946,1704,173880,47043,9684,951,213,3363,219
147,1,"Gadsden, AL",1300,5,237057,41,54095,36708,24138,16218,76968,41580,77946,1704,173880,47043,9684,951,213,3363,219
148,0,"Gainesville, FL",228150,1103,206858,30,54938,30126,43833,50324,39783,14870,58017,14516,122074,42809,20596,611,145,5457,650
149,1,"Gainesville, FL",14080,68,206858,30,54938,30126,43833,50324,39783,14870,58017,14516,122074,42809,20596,611,145,5457,650
150,0,"Gainesville, GA",149420,1093,136696,33,70122,20371,18499,10704,37984,35730,33727,2282,75132,10695,46545,186,10,1731,115
151,1,"Gainesville, GA",1150,8,136696,33,70122,20371,18499,10704,37984,35730,33727,2282,75132,10695,46545,186,10,1731,115
152,0,"Glens Falls, NY",80720,1641,49181,42,73803,3201,7614,6661,15931,3204,15747,637,45866,727,1231,171,33,505,11
153,1,"Glens Falls, NY",2930,60,49181,42,73803,3201,7614,6661,15931,3204,15747,637,45866,727,1231,171,33,505,11
154,0,"Goldsboro, NC",69680,840,82997,34,41834,14754,12479,4901,23952,12711,28935,1407,41289,28874,8410,219,28,2735,35
155,1,"Goldsboro, NC",1880,23,82997,34,41834,14754,12479,4901,23952,12711,28935,1407,41289,28874,8410,219,28,2735,35
156,0,"Grand Island, NE",63560,1117,56882,37,74076,6512,7698,3412,17785,9369,18613,702,38281,1337,15526,183,141,565,147
157,1,"Grand Island, NE",2440,43,56882,37,74076,6512,7698,3412,17785,9369,18613,702,38281,1337,15526,183,141,565,147
158,0,"Grand Junction, CO",103300,772,133831,39,67590,17968,24283,11644,37816,13511,46576,934,108372,947,20088,768,133,2350,239
159,1,"Grand Junction, CO",3080,23,133831,39,67590,17968,24283,11644,37816,13511,46576,934,108372,947,20088,768,133,2350,239
160,0,"Grants Pass, OR",43370,1251,34681,48,59180,4335,3676,2323,11548,3918,13213,234,30943,53,2041,460,1,949,0
161,1,"Grants Pass, OR",1520,44,34681,48,59180,4335,3676,2323,11548,3918,13213,234,30943,53,2041,460,1,949,0
162,0,"Great Falls, MT",56760,768,73935,37,60869,7216,13570,6947,22577,5881,24919,668,62762,1034,3371,3360,72,2652,16
163,1,"Great Falls, MT",2580,35,73935,37,60869,7216,13570,6947,22577,5881,24919,668,62762,1034,3371,3360,72,2652,16
164,0,"Greeley, CO",180370,1005,179550,32,81303,17556,31604,15616,48756,24981,58420,2376,113444,2416,57058,785,109,3073,289
165,1,"Greeley, CO",2740,15,179550,32,81303,17556,31604,15616,48756,24981,58420,2376,113444,2416,57058,785,109,3073,289
166,0,"Green Bay, WI",290840,1507,192937,37,72693,19474,38320,15734,58981,19290,60569,6471,150856,4697,19560,5767,0,5265,321
167,1,"Green Bay, WI",16380,85,192937,37,72693,19474,38320,15734,58981,19290,60569,6471,150856,4697,19560,5767,0,5265,321
168,0,"Greenville, NC",127450,907,140495,30,68471,21182,30646,19117,30554,12975,47138,2934,76470,48387,8620,287,61,3090,646
169,1,"Greenville, NC",2050,15,140495,30,68471,21182,30646,19117,30554,12975,47138,2934,76470,48387,8620,287,61,3090,646
170,0,"Hammond, LA",72570,918,79042,29,48490,13781,12086,5851,25366,11744,24005,836,50442,22720,3330,91,0,1540,83
171,1,"Hammond, LA",1930,24,79042,29,48490,13781,12086,5851,25366,11744,24005,836,50442,22720,3330,91,0,1540,83
172,0,"Harrisonburg, VA",100130,1373,72942,26,43965,8106,13961,10466,18026,10985,16232,2419,51884,3924,12490,75,48,1916,186
173,1,"Harrisonburg, VA",4010,55,72942,26,43965,8106,13961,10466,18026,10985,16232,2419,51884,3924,12490,75,48,1916,186
174,0,"Hattiesburg, MS",103270,1212,85210,27,42928,15196,19000,12293,19673,9208,25112,1216,46128,33807,2408,106,9,1520,16
175,1,"Hattiesburg, MS",4040,47,85210,27,42928,15196,19000,12293,19673,9208,25112,1216,46128,33807,2408,106,9,1520,16
176,0,"Hinesville, GA",25710,16324,1575,22,-1,0,149,0,571,0,853,68,757,377,305,0,21,47,0
177,1,"Hinesville, GA",1360,863,1575,22,-1,0,149,0,571,0,853,68,757,377,305,0,21,47,0
178,0,"Homosassa Springs, FL",52110,1930,27003,58,54430,2395,3993,1615,9498,3473,8446,378,24500,536,1215,148,0,226,0
179,1,"Homosassa Springs, FL",1380,51,27003,58,54430,2395,3993,1615,9498,3473,8446,378,24500,536,1215,148,0,226,0
180,0,"Hot Springs, AR",61220,328,186882,47,56337,23950,26998,15058,54968,21194,68616,894,153710,15408,11086,1156,16,4544,68
181,1,"Hot Springs, AR",2080,11,186882,47,56337,23950,26998,15058,54968,21194,68616,894,153710,15408,11086,1156,16,4544,68
182,0,"Huntsville, AL",384610,350,1097760,37,90040,116487,279150,169914,226605,98880,323160,28287,713190,264255,53979,5994,708,28521,2826
183,1,"Huntsville, AL",33900,31,1097760,37,90040,116487,279150,169914,226605,98880,323160,28287,713190,264255,53979,5994,708,28521,2826
184,0,"Idaho Falls, ID",118290,1105,107054,33,75976,9617,21945,9353,28188,9217,38408,922,89068,550,13896,324,179,2057,58
185,1,"Idaho Falls, ID",6230,58,107054,33,75976,9617,21945,9353,28188,9217,38408,922,89068,550,13896,324,179,2057,58
186,0,"Iowa City, IA",136480,5180,26348,22,42223,1185,8297,8124,3592,1117,5215,1064,22355,708,1257,37,133,720,74
187,1,"Iowa City, IA",9200,349,26348,22,42223,1185,8297,8124,3592,1117,5215,1064,22355,708,1257,37,133,720,74
188,0,"Ithaca, NY",71320,8202,8695,31,35409,545,3905,643,1971,539,1635,201,7446,386,358,59,0,195,50
189,1,"Ithaca, NY",4070,468,8695,31,35409,545,3905,643,1971,539,1635,201,7446,386,358,59,0,195,50
190,0,"Jackson, MI",72690,709,102465,38,57842,15090,14055,6341,34384,11071,36682,956,81638,12228,4303,343,37,2901,59
191,1,"Jackson, MI",3720,36,102465,38,57842,15090,14055,6341,34384,11071,36682,956,81638,12228,4303,343,37,2901,59
192,0,"Jackson, MS",449400,1630,275698,31,55577,48028,47845,33672,69593,36429,86879,3676,85082,177890,6372,321,92,1900,365
193,1,"Jackson, MS",22660,82,275698,31,55577,48028,47845,33672,69593,36429,86879,3676,85082,177890,6372,321,92,1900,365
194,0,"Jackson, TN",109900,1239,88680,40,56140,15169,15555,8220,29943,9850,25137,1048,48252,34367,3376,41,0,1536,60
195,1,"Jackson, TN",4000,45,88680,40,56140,15169,15555,8220,29943,9850,25137,1048,48252,34367,3376,41,0,1536,60
196,0,"Jacksonville, FL",1232390,1359,906683,35,66129,112662,173209,80832,255692,98217,298760,41705,488729,266653,81270,1387,831,23921,2187
197,1,"Jacksonville, FL",72810,80,906683,35,66129,112662,173209,80832,255692,98217,298760,41705,488729,266653,81270,1387,831,23921,2187
198,0,"Jacksonville, NC",80240,608,132005,24,50702,15569,18994,7479,36528,9825,59220,2850,80845,22837,17754,537,340,6661,181
199,1,"Jacksonville, NC",2600,20,132005,24,50702,15569,18994,7479,36528,9825,59220,2850,80845,22837,17754,537,340,6661,181
200,0,"Jefferson City, MO",118970,1492,79748,38,67110,7054,16890,8701,24711,6823,22624,1169,64957,9116,2168,311,42,1492,493
201,1,"Jefferson City, MO",9250,116,79748,38,67110,7054,16890,8701,24711,6823,22624,1169,64957,9116,2168,311,42,1492,493
202,0,"Johnson City, TN",127880,965,132565,38,53743,16426,24822,17440,38539,14454,37269,2054,118231,5040,4214,396,7,2621,2
203,1,"Johnson City, TN",6020,45,132565,38,53743,16426,24822,17440,38539,14454,37269,2054,118231,5040,4214,396,7,2621,2
204,0,"Johnstown, PA",80120,5381,14889,47,31470,3596,1172,555,7192,2353,3624,47,11968,1621,419,2,0,770,62
205,1,"Johnstown, PA",2950,198,14889,47,31470,3596,1172,555,7192,2353,3624,47,11968,1621,419,2,0,770,62
206,0,"Jonesboro, AR",94670,1031,91806,32,51418,12694,16457,9601,29135,9944,26373,1187,68651,13870,4841,195,154,2794,114
207,1,"Jonesboro, AR",3900,42,91806,32,51418,12694,16457,9601,29135,9944,26373,1187,68651,13870,4841,195,154,2794,114
