,area_title,jobs_1000,tot_emp,emp_prse,population,median_age,average_household_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
109,"Raleigh, NC",105.612,65620.0,40.3,1415916,36,100650,96720,508266,288294,187530,88668,343596,48630,915798,283260,133590,3660,936,26880,3162
110,"Redding, CA",22.065,1420.0,132.5,202182,38,66258,25068,29718,14148,49734,17994,90576,10896,151422,3222,21744,4404,0,10356,138
111,"Reno, NV",28.173,6360.0,57.699999999999996,630684,42,91939,40266,156156,108810,111318,43884,210222,37632,471234,11250,80478,4278,4914,20082,816
112,"Richmond, VA",62.28800000000001,38990.0,46.3,557802,30,67778,113568,136422,83874,127572,78084,131340,15990,238446,237198,46878,900,156,16614,1620
113,"Roanoke, VA",30.917,4470.0,110.69999999999999,231210,35,72651,52164,23268,14371,83965,43876,65898,3563,78876,130543,8470,511,1197,7476,574
114,"Rochester, MN",27.372999999999998,3150.0,162.49999999999997,745560,37,100515,44802,185388,151620,144354,42834,221310,51522,581316,49578,40152,1350,120,20394,1128
115,"Rochester, NY",66.18,31470.0,61.0,649502,29,39612,202146,95109,54565,180313,126413,192948,23478,208446,303968,91077,1358,77,19390,1708
116,"Rockford, IL",20.47,2760.0,87.1,405937,33,44036,113064,26159,13097,143374,100478,122899,10269,160594,128219,95606,336,35,10528,350
117,"Rocky Mount, NC",11.918,640.0,99.6,81116,38,41707,23848,5432,3404,31472,16384,24332,52,18108,60244,760,36,112,1692,112
118,"Rome, GA",22.063000000000002,800.0,164.1,13132,20,87422,0,7112,5656,0,182,182,147,10815,1547,469,0,0,154,0
119,"Saginaw, MI",31.191000000000003,2360.0,96.60000000000001,263952,42,46401,48156,32508,19626,84450,35178,92406,3012,159522,53964,36792,1176,72,9012,402
120,"Salem, OR",38.815999999999995,6480.0,55.699999999999996,269451,40,76672,21819,64393,40411,53347,15624,95655,7217,218547,3150,29134,1302,1764,7854,483
121,"Salinas, CA",19.809,3390.0,63.6,533250,31,65783,97644,40344,16926,111300,261138,103512,16584,72042,3030,436614,348,96,4362,174
122,"Salt Lake City, UT",86.85199999999999,62950.0,61.89999999999999,565957,30,63585,52759,173089,143745,76867,28385,143563,28392,449260,10108,52801,7406,1477,14245,2268
123,"San Angelo, TX",29.910999999999998,1390.0,111.2,496272,30,52120,45264,89292,36108,138978,77334,154626,5412,256212,22314,204852,840,270,5850,522
