,istech,area_title,jobs_1000,tot_emp,emp_prse,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other,city,state_code
0,0,"Abilene, TX",12.048519650655026,182230.0,18.251528384279474,85075,27,49583,9368,12687,6935,25576,10738,29001,2253,53385,8597,18241,524,15,1860,200,Abilene, TX
1,1,"Abilene, TX",8.40925,4450.0,22.5,85075,27,49583,9368,12687,6935,25576,10738,29001,2253,53385,8597,18241,524,15,1860,200,Abilene, TX
2,0,"Akron, OH",7.321090185676392,859710.0,19.45092838196288,94894,33,42943,25508,10769,5611,33755,13742,31013,2164,54490,31493,1761,134,22,4765,65,Akron, OH
3,1,"Akron, OH",6.404352941176471,33910.0,18.88235294117647,94894,33,42943,25508,10769,5611,33755,13742,31013,2164,54490,31493,1761,134,22,4765,65,Akron, OH
4,0,"Albany, GA",13.685161458333333,153970.0,18.69270833333334,64884,37,59234,13830,9365,7235,18004,9037,21217,948,20685,40100,1737,96,24,1241,53,Albany, GA
5,1,"Albany, GA",10.04742857142857,4120.0,16.414285714285715,64884,37,59234,13830,9365,7235,18004,9037,21217,948,20685,40100,1737,96,24,1241,53,Albany, GA
6,0,"Albuquerque, NM",6.598983372921624,1040140.0,16.33159144893113,319991,35,61589,42306,66219,56998,66455,25103,105387,8437,153880,9545,126499,13606,213,6795,1016,Albuquerque, NM
7,1,"Albuquerque, NM",6.331062499999998,37920.0,14.9,319991,35,61589,42306,66219,56998,66455,25103,105387,8437,153880,9545,126499,13606,213,6795,1016,Albuquerque, NM
8,0,"Alexandria, LA",13.515039800995032,155190.0,18.862686567164182,59184,38,57892,10955,7768,5315,21019,9059,16030,1856,23883,30783,1494,206,7,924,31,Alexandria, LA
9,1,"Alexandria, LA",12.72975,2900.0,17.975,59184,38,57892,10955,7768,5315,21019,9059,16030,1856,23883,30783,1494,206,7,924,31,Alexandria, LA
10,0,"Amarillo, TX",10.519027777777776,299770.0,20.11349206349206,196907,35,67009,26741,27313,13009,53208,35426,67945,7044,109181,13680,61803,643,145,4232,179,Amarillo, TX
11,1,"Amarillo, TX",6.5245999999999995,7380.0,12.05,196907,35,67009,26741,27313,13009,53208,35426,67945,7044,109181,13680,61803,643,145,4232,179,Amarillo, TX
12,0,"Ames, IA",14.40655865921788,112150.0,17.626256983240225,69189,22,35781,2342,19565,19574,13031,1540,13890,6813,55861,1683,2352,175,34,2257,14,Ames, IA
13,1,"Ames, IA",12.974700000000002,5650.0,25.19,69189,22,35781,2342,19565,19574,13031,1540,13890,6813,55861,1683,2352,175,34,2257,14,Ames, IA
14,0,"Anchorage, AK",7.9073641618497135,450130.0,17.73439306358381,867081,33,102234,47730,190701,109314,203442,57651,305823,80919,507582,46935,77619,60072,20823,71037,2094,Anchorage, AK
15,1,"Anchorage, AK",6.897937500000001,18150.0,14.69375,867081,33,102234,47730,190701,109314,203442,57651,305823,80919,507582,46935,77619,60072,20823,71037,2094,Anchorage, AK
16,0,"Ann Arbor, MI",8.392640127388534,549080.0,18.909872611464966,129170,29,74733,5607,38922,53784,10365,3802,22292,15555,94161,8860,4852,231,53,5265,193,Ann Arbor, MI
17,1,"Ann Arbor, MI",5.698687500000001,19000.0,13.0125,129170,29,74733,5607,38922,53784,10365,3802,22292,15555,94161,8860,4852,231,53,5265,193,Ann Arbor, MI
18,0,"Asheville, NC",8.20987610619469,512460.0,17.031858407079643,44784,44,65450,3655,9949,5578,11741,4414,13133,106,39421,1611,2914,85,49,579,19,Asheville, NC
19,1,"Asheville, NC",5.040692307692306,12070.0,18.361538461538462,44784,44,65450,3655,9949,5578,11741,4414,13133,106,39421,1611,2914,85,49,579,19,Asheville, NC
20,0,"Athens-Clarke County, GA",11.276108225108214,221000.0,16.436796536796543,88158,23,30401,13036,20237,22128,15144,7591,20859,5045,56200,18850,6190,61,6,1700,106,Athens-Clarke County, GA
21,1,"Athens-Clarke County, GA",5.01775,3390.0,16.3625,88158,23,30401,13036,20237,22128,15144,7591,20859,5045,56200,18850,6190,61,6,1700,106,Athens-Clarke County, GA
22,0,"Bakersfield, CA",7.774444444444444,854740.0,19.47777777777778,278522,30,55990,59395,32489,18287,76800,66120,84788,14323,86547,19133,151488,998,353,5316,364,Bakersfield, CA
23,1,"Bakersfield, CA",4.384799999999999,20080.0,15.833333333333334,278522,30,55990,59395,32489,18287,76800,66120,84788,14323,86547,19133,151488,998,353,5316,364,Bakersfield, CA
24,0,"Barnstable Town, MA",10.983869047619045,256080.0,19.024999999999995,25977,52,129847,981,6845,5037,5357,900,7826,73,24682,283,474,12,0,290,163,Barnstable Town, MA
25,1,"Barnstable Town, MA",7.164083333333333,7970.0,14.366666666666667,25977,52,129847,981,6845,5037,5357,900,7826,73,24682,283,474,12,0,290,163,Barnstable Town, MA
26,0,"Baton Rouge, LA",6.9763585858585815,1026420.0,19.38156565656566,145563,25,44470,27804,27561,20374,39324,19535,38809,5732,54682,77356,5429,295,15,1975,79,Baton Rouge, LA
27,1,"Baton Rouge, LA",5.933133333333334,33070.0,16.64666666666667,145563,25,44470,27804,27561,20374,39324,19535,38809,5732,54682,77356,5429,295,15,1975,79,Baton Rouge, LA
28,0,"Bay City, MI",18.975137681159435,79470.0,16.6427536231884,39388,43,60679,4529,5199,2638,13037,3978,14534,279,35738,538,1812,49,0,963,9,Bay City, MI
29,1,"Bay City, MI",10.046666666666667,1840.0,14.066666666666668,39388,43,60679,4529,5199,2638,13037,3978,14534,279,35738,538,1812,49,0,963,9,Bay City, MI
30,0,"Billings, MT",10.49228409090909,233110.0,18.187121212121216,94977,39,92247,5337,22426,9930,25452,5349,31859,642,84796,532,4236,2547,45,2143,36,Billings, MT
31,1,"Billings, MT",5.094692307692307,5590.0,19.47692307692308,94977,39,92247,5337,22426,9930,25452,5349,31859,642,84796,532,4236,2547,45,2143,36,Billings, MT
32,0,"Bismarck, ND",11.450757322175727,185940.0,19.743096234309636,62254,37,86660,2590,16660,6528,13518,3533,22009,671,56255,1214,1276,1739,39,1019,41,Bismarck, ND
33,1,"Bismarck, ND",8.621799999999999,5870.0,10.84,62254,37,86660,2590,16660,6528,13518,3533,22009,671,56255,1214,1276,1739,39,1019,41,Bismarck, ND
34,0,"Bloomington, IN",11.72951442307692,166060.0,20.635576923076933,33311,20,18097,4574,9883,10917,3906,1876,6746,3229,27395,630,1135,26,16,864,16,Bloomington, IN
35,1,"Bloomington, IN",10.464333333333332,8550.0,14.091666666666667,33311,20,18097,4574,9883,10917,3906,1876,6746,3229,27395,630,1135,26,16,864,16,Bloomington, IN
36,0,"Boise City, ID",7.1748549222797955,924670.0,19.58471502590672,36061,38,82602,5043,9275,4779,8065,2485,11461,742,29806,741,3269,233,3,1226,41,Boise City, ID
37,1,"Boise City, ID",7.781470588235296,44170.0,17.13529411764706,36061,38,82602,5043,9275,4779,8065,2485,11461,742,29806,741,3269,233,3,1226,41,Boise City, ID
38,0,"Boulder, CO",8.116656250000002,471150.0,16.6646875,6935,19,14543,0,0,5693,0,0,1241,789,5062,108,745,6,65,154,6,Boulder, CO
39,1,"Boulder, CO",12.063357142857143,30650.0,16.77857142857143,6935,19,14543,0,0,5693,0,0,1241,789,5062,108,745,6,65,154,6,Boulder, CO
40,0,"Bowling Green, KY",12.827230046948358,186040.0,20.007042253521128,25067,26,63377,2130,5329,4402,6431,1904,6994,1067,21302,1607,548,160,83,260,40,Bowling Green, KY
41,1,"Bowling Green, KY",7.314333333333334,4490.0,19.266666666666666,25067,26,63377,2130,5329,4402,6431,1904,6994,1067,21302,1607,548,160,83,260,40,Bowling Green, KY
42,0,"Carson City, NV",16.50983018867925,75970.0,16.038364779874204,36229,46,76639,3577,5280,3304,9856,4396,13387,920,24946,608,7805,817,59,1041,33,Carson City, NV
43,1,"Carson City, NV",13.845222222222224,3610.0,15.655555555555557,36229,46,76639,3577,5280,3304,9856,4396,13387,920,24946,608,7805,817,59,1041,33,Carson City, NV
44,0,"Cedar Rapids, IA",8.610831210191089,370900.0,18.616242038216562,27220,35,61551,3065,5215,1909,8627,1289,10202,584,23305,1611,872,19,0,822,7,Cedar Rapids, IA
45,1,"Cedar Rapids, IA",11.375866666666665,23420.0,11.486666666666668,27220,35,61551,3065,5215,1909,8627,1289,10202,584,23305,1611,872,19,0,822,7,Cedar Rapids, IA
46,0,"Charleston, WV",9.73922857142857,280530.0,19.11785714285714,10667,44,72156,1595,2142,2292,2664,678,2889,345,8401,1373,208,4,0,283,53,Charleston, WV
47,1,"Charleston, WV",7.428466666666665,11450.0,17.006666666666668,10667,44,72156,1595,2142,2292,2664,678,2889,345,8401,1373,208,4,0,283,53,Charleston, WV
48,0,"Charlottesville, VA",9.415251773049647,286280.0,19.47872340425533,24019,35,83806,2954,5500,5764,4779,2978,4995,772,16727,3362,2640,94,17,379,28,Charlottesville, VA
49,1,"Charlottesville, VA",6.006076923076923,8420.0,17.930769230769233,24019,35,83806,2954,5500,5764,4779,2978,4995,772,16727,3362,2640,94,17,379,28,Charlottesville, VA
50,0,"Chico, CA",11.68764377682403,200500.0,21.30214592274677,39032,27,67168,5854,9055,6010,6245,2185,15573,2317,28575,594,5909,128,57,1333,119,Chico, CA
51,1,"Chico, CA",6.425083333333334,5680.0,21.916666666666668,39032,27,67168,5854,9055,6010,6245,2185,15573,2317,28575,594,5909,128,57,1333,119,Chico, CA
52,0,"Colorado Springs, CO",7.28414594594594,749870.0,16.979729729729726,290742,33,89054,23265,72140,47506,54441,15292,101403,7056,212358,14077,42824,1194,554,11801,878,Colorado Springs, CO
53,1,"Colorado Springs, CO",9.49570588235294,44910.0,14.44705882352941,290742,33,89054,23265,72140,47506,54441,15292,101403,7056,212358,14077,42824,1194,554,11801,878,Colorado Springs, CO
54,0,"Columbia, MO",11.483255605381173,225790.0,19.341255605381164,48751,25,30435,4606,11396,5867,13287,3976,13917,1203,37133,6023,1951,21,11,2340,69,Columbia, MO
55,1,"Columbia, MO",6.987357142857143,8630.0,19.728571428571428,48751,25,30435,4606,11396,5867,13287,3976,13917,1203,37133,6023,1951,21,11,2340,69,Columbia, MO
56,0,"Columbia, SC",7.071659898477157,1039450.0,17.208883248730967,87749,24,46124,7118,25151,17376,13581,3631,27144,2633,40255,35867,6080,35,221,2442,216,Columbia, SC
57,1,"Columbia, SC",7.6307857142857145,39850.0,9.585714285714287,87749,24,46124,7118,25151,17376,13581,3631,27144,2633,40255,35867,6080,35,221,2442,216,Columbia, SC
58,0,"Columbus, OH",5.796395789473684,2826330.0,18.170736842105264,207313,29,45706,57136,39583,27508,56651,31408,52164,10250,109382,66382,9403,499,136,10679,582,Columbus, OH
59,1,"Columbus, OH",7.672500000000001,141780.0,13.694444444444445,207313,29,45706,57136,39583,27508,56651,31408,52164,10250,109382,66382,9403,499,136,10679,582,Columbus, OH
60,0,"Corpus Christi, TX",8.824189873417719,503140.0,20.232594936708857,283296,35,65857,33711,41670,23173,79304,46441,92605,6635,92833,11388,168890,616,220,2523,191,Corpus Christi, TX
61,1,"Corpus Christi, TX",5.332615384615385,12500.0,20.176923076923078,283296,35,65857,33711,41670,23173,79304,46441,92605,6635,92833,11388,168890,616,220,2523,191,Corpus Christi, TX
62,0,"Corvallis, OR",14.559377245508989,85150.0,18.13952095808384,24964,23,34155,2045,7803,6915,3001,1044,6198,2226,19475,305,1796,101,86,969,6,Corvallis, OR
63,1,"Corvallis, OR",13.458222222222224,4250.0,9.100000000000001,24964,23,34155,2045,7803,6915,3001,1044,6198,2226,19475,305,1796,101,86,969,6,Corvallis, OR
64,0,"Dalton, GA",14.667846560846556,166370.0,19.065608465608463,8328,43,91602,599,1082,541,2531,1340,2831,58,7361,100,639,0,0,149,21,Dalton, GA
65,1,"Dalton, GA",10.6355,3830.0,14.4,8328,43,91602,599,1082,541,2531,1340,2831,58,7361,100,639,0,0,149,21,Dalton, GA
66,0,"Danbury, CT",12.415727699530501,187610.0,19.281690140845072,32349,41,114772,1617,7019,5402,8540,2749,8604,2164,21676,2337,4337,37,0,593,1205,Danbury, CT
67,1,"Danbury, CT",4.685909090909091,3660.0,15.327272727272726,32349,41,114772,1617,7019,5402,8540,2749,8604,2164,21676,2337,4337,37,0,593,1205,Danbury, CT
68,0,"Dayton, OH",7.002930946291556,979320.0,18.725831202046034,42351,42,27719,13780,3809,2264,11851,8961,15471,136,18555,19154,3050,200,17,1197,42,Dayton, OH
69,1,"Dayton, OH",7.28115789473684,49460.0,15.168421052631581,42351,42,27719,13780,3809,2264,11851,8961,15471,136,18555,19154,3050,200,17,1197,42,Dayton, OH
70,0,"Decatur, IL",16.414477987421375,115630.0,22.2440251572327,1450,33,15801,1297,18,0,487,361,584,0,685,532,34,0,0,190,9,Decatur, IL
71,1,"Decatur, IL",12.735800000000001,2810.0,26.279999999999994,1450,33,15801,1297,18,0,487,361,584,0,685,532,34,0,0,190,9,Decatur, IL
72,0,"Dubuque, IA",12.707368421052616,149310.0,19.76267942583732,13497,44,93604,836,3090,1876,4224,526,3765,135,12993,7,161,3,6,192,0,Dubuque, IA
73,1,"Dubuque, IA",8.2505,5560.0,21.424999999999997,13497,44,93604,836,3090,1876,4224,526,3765,135,12993,7,161,3,6,192,0,Dubuque, IA
74,0,"El Paso, TX",7.871101123595496,849320.0,19.977247191011234,570697,33,56203,103920,90921,44472,138369,123099,173712,7009,78558,18135,459752,1519,442,4883,399,El Paso, TX
75,1,"El Paso, TX",4.582866666666666,20840.0,20.280000000000005,570697,33,56203,103920,90921,44472,138369,123099,173712,7009,78558,18135,459752,1519,442,4883,399,El Paso, TX
76,0,"Enid, OK",20.763351999999998,59620.0,18.248000000000005,300,24,-1,0,247,52,0,0,0,0,271,0,23,0,0,6,0,Enid, OK
77,1,"Enid, OK",15.7675,1460.0,26.275,300,24,-1,0,247,52,0,0,0,0,271,0,23,0,0,6,0,Enid, OK
78,0,"Erie, PA",9.970910394265244,317390.0,20.77956989247312,45003,33,25638,13182,5353,1757,19355,8954,9549,1493,26971,9526,4703,226,21,1844,219,Erie, PA
79,1,"Erie, PA",5.864538461538463,8680.0,28.299999999999997,45003,33,25638,13182,5353,1757,19355,8954,9549,1493,26971,9526,4703,226,21,1844,219,Erie, PA
80,0,"Eugene, OR",8.05017732558139,408950.0,16.740406976744197,128338,34,61031,14477,26069,15127,27168,10400,49653,4750,100156,2426,13436,984,386,5799,401,Eugene, OR
81,1,"Eugene, OR",6.755599999999999,14960.0,18.906666666666663,128338,34,61031,14477,26069,15127,27168,10400,49653,4750,100156,2426,13436,984,386,5799,401,Eugene, OR
82,0,"Fairbanks, AK",16.067390243902455,81430.0,16.44573170731707,25245,22,74399,1311,5049,1512,4746,579,13377,1257,14322,2655,4980,168,294,1227,342,Fairbanks, AK
83,1,"Fairbanks, AK",10.889624999999999,2680.0,18.225,25245,22,74399,1311,5049,1512,4746,579,13377,1257,14322,2655,4980,168,294,1227,342,Fairbanks, AK
84,0,"Fayetteville, NC",10.225833333333334,338680.0,16.90592592592593,152844,32,47208,24952,26545,14174,35820,13213,63118,4039,56754,66743,16779,804,367,7111,247,Fayetteville, NC
85,1,"Fayetteville, NC",5.870923076923078,9370.0,15.092307692307694,152844,32,47208,24952,26545,14174,35820,13213,63118,4039,56754,66743,16779,804,367,7111,247,Fayetteville, NC
86,0,"Flagstaff, AZ",12.88098492462311,145940.0,17.623115577889433,16942,19,9855,0,1456,3794,0,0,11688,702,10894,994,3274,236,134,708,0,Flagstaff, AZ
87,1,"Flagstaff, AZ",8.898555555555554,4570.0,11.98888888888889,16942,19,9855,0,1456,3794,0,0,11688,702,10894,994,3274,236,134,708,0,Flagstaff, AZ
88,0,"Flint, MI",11.06730081300813,330780.0,19.66666666666667,78085,34,43934,21153,8819,5135,25738,9520,28810,663,44088,27429,2530,239,12,2971,153,Flint, MI
89,1,"Flint, MI",5.2105,7610.0,24.149999999999995,78085,34,43934,21153,8819,5135,25738,9520,28810,663,44088,27429,2530,239,12,2971,153,Flint, MI
90,0,"Florence, SC",12.535650000000008,231120.0,16.568636363636358,80426,39,70084,8491,14292,8194,24120,9540,24302,1475,48018,27413,2030,98,68,1248,76,Florence, SC
91,1,"Florence, SC",7.0235,5870.0,15.719999999999999,80426,39,70084,8491,14292,8194,24120,9540,24302,1475,48018,27413,2030,98,68,1248,76,Florence, SC
92,0,"Fort Collins, CO",8.463710280373835,423960.0,17.37570093457944,36768,23,63407,3162,11361,7941,5625,1507,10295,1177,29681,706,4036,171,71,911,15,Fort Collins, CO
93,1,"Fort Collins, CO",4.656187500000001,11600.0,19.5,36768,23,63407,3162,11361,7941,5625,1507,10295,1177,29681,706,4036,171,71,911,15,Fort Collins, CO
94,0,"Fort Wayne, IN",7.684365650969531,570250.0,17.36869806094184,191833,35,67955,20900,38546,21334,52226,17358,62346,7168,149088,15515,12441,346,95,6704,476,Fort Wayne, IN
95,1,"Fort Wayne, IN",5.205941176470588,18200.0,12.435294117647059,191833,35,67955,20900,38546,21334,52226,17358,62346,7168,149088,15515,12441,346,95,6704,476,Fort Wayne, IN
96,0,"Fresno, CA",7.147116751269044,1059360.0,19.400000000000006,210235,31,58791,53845,25362,12223,48194,57841,66674,26432,53395,14712,109961,912,248,4116,459,Fresno, CA
97,1,"Fresno, CA",3.8113125,22940.0,15.8875,210235,31,58791,53845,25362,12223,48194,57841,66674,26432,53395,14712,109961,912,248,4116,459,Fresno, CA
98,0,"Gainesville, FL",8.827566225165569,365100.0,17.273178807947026,174849,28,53378,25318,39011,46038,31323,10760,47677,13069,104411,33190,18376,532,145,4515,611,Gainesville, FL
99,1,"Gainesville, FL",6.840733333333334,14080.0,13.853333333333333,174849,28,53378,25318,39011,46038,31323,10760,47677,13069,104411,33190,18376,532,145,4515,611,Gainesville, FL
100,0,"Gainesville, GA",11.912200000000004,238310.0,18.938222222222223,72663,36,75646,10433,12481,7359,18685,14257,19819,649,49814,4675,16634,29,0,821,41,Gainesville, GA
101,1,"Gainesville, GA",1.62,1150.0,19.05,72663,36,75646,10433,12481,7359,18685,14257,19819,649,49814,4675,16634,29,0,821,41,Gainesville, GA
102,0,"Grand Island, NE",14.705407821229056,102480.0,17.824022346368714,54650,35,68254,6423,7212,3223,17100,9240,17870,702,36072,1330,15517,183,141,560,145,Grand Island, NE
103,1,"Grand Island, NE",6.969111111111112,2440.0,23.188888888888886,54650,35,68254,6423,7212,3223,17100,9240,17870,702,36072,1330,15517,183,141,560,145,Grand Island, NE
104,0,"Grand Junction, CO",12.45109502262443,162220.0,17.063348416289596,36353,40,60777,6055,7792,4013,8541,4063,11941,321,27686,342,6655,279,82,984,4,Grand Junction, CO
105,1,"Grand Junction, CO",5.803444444444445,3080.0,15.622222222222222,36353,40,60777,6055,7792,4013,8541,4063,11941,321,27686,342,6655,279,82,984,4,Grand Junction, CO
106,0,"Hammond, LA",16.321808383233535,114620.0,18.83892215568862,1917,19,-1,0,0,0,0,0,1917,29,1207,617,30,6,0,28,0,Hammond, LA
107,1,"Hammond, LA",11.4955,1930.0,17.75,1917,19,-1,0,0,0,0,0,1917,29,1207,617,30,6,0,28,0,Hammond, LA
108,0,"Harrisonburg, VA",12.660961352657003,161910.0,17.73768115942029,33109,26,32342,3287,4840,3854,9263,5050,6872,723,22955,1986,6304,52,29,988,72,Harrisonburg, VA
109,1,"Harrisonburg, VA",5.393666666666667,4010.0,20.741666666666667,33109,26,32342,3287,4840,3854,9263,5050,6872,723,22955,1986,6304,52,29,988,72,Harrisonburg, VA
110,0,"Hattiesburg, MS",14.572713513513516,164150.0,21.929189189189188,1943,19,-1,0,1445,497,0,0,0,73,967,857,32,0,0,14,0,Hattiesburg, MS
111,1,"Hattiesburg, MS",9.495714285714286,4040.0,24.685714285714287,1943,19,-1,0,1445,497,0,0,0,73,967,857,32,0,0,14,0,Hattiesburg, MS
112,0,"Huntsville, AL",7.8658259587020565,615410.0,17.684070796460187,354582,37,79072,36945,104028,67320,58059,24171,101004,11403,246909,74364,11091,909,93,9000,813,Huntsville, AL
113,1,"Huntsville, AL",9.181,33900.0,14.49375,354582,37,79072,36945,104028,67320,58059,24171,101004,11403,246909,74364,11091,909,93,9000,813,Huntsville, AL
114,0,"Idaho Falls, ID",11.982563876651971,187110.0,20.985903083700432,24521,34,68199,2991,4438,2035,6939,2672,8459,225,19647,115,4145,89,61,239,0,Idaho Falls, ID
115,1,"Idaho Falls, ID",10.06788888888889,6230.0,15.222222222222221,24521,34,68199,2991,4438,2035,6939,2672,8459,225,19647,115,4145,89,61,239,0,Idaho Falls, ID
116,0,"Iowa City, IA",10.316932,222890.0,18.30120000000001,26348,22,42223,1185,8297,8124,3592,1117,5215,1064,22355,708,1257,37,133,720,74,Iowa City, IA
117,1,"Iowa City, IA",8.880166666666666,9200.0,12.825000000000001,26348,22,42223,1185,8297,8124,3592,1117,5215,1064,22355,708,1257,37,133,720,74,Iowa City, IA
118,0,"Jackson, MI",14.662211428571435,119150.0,23.241142857142854,19690,37,43551,4115,1929,511,7147,2736,7364,238,15759,2044,1015,52,0,582,0,Jackson, MI
119,1,"Jackson, MI",10.001125,3720.0,24.1875,19690,37,43551,4115,1929,511,7147,2736,7364,238,15759,2044,1015,52,0,582,0,Jackson, MI
120,0,"Jackson, MS",7.738902777777765,700930.0,18.30055555555554,89147,29,50904,16905,17538,13135,20135,11477,25594,611,23579,62955,1311,81,59,546,5,Jackson, MS
121,1,"Jackson, MS",6.430785714285713,22660.0,18.728571428571428,89147,29,50904,16905,17538,13135,20135,11477,25594,611,23579,62955,1311,81,59,546,5,Jackson, MS
122,0,"Jackson, TN",12.544281105990786,173680.0,20.354377880184327,52743,37,73257,5643,11919,6592,14926,3797,15506,805,31719,16223,2918,14,0,1004,60,Jackson, TN
123,1,"Jackson, TN",6.2796,4000.0,23.18,52743,37,73257,5643,11919,6592,14926,3797,15506,805,31719,16223,2918,14,0,1004,60,Jackson, TN
124,0,"Jacksonville, FL",6.327255079006775,1915880.0,19.394356659142193,835581,34,63748,106638,158000,71966,235900,92449,277370,40219,430995,261670,76148,1259,818,22420,2052,Jacksonville, FL
125,1,"Jacksonville, FL",6.657062499999999,72810.0,18.887500000000003,835581,34,63748,106638,158000,71966,235900,92449,277370,40219,430995,261670,76148,1259,818,22420,2052,Jacksonville, FL
126,0,"Jacksonville, NC",14.61632804232804,125760.0,17.931746031746027,5144,21,41906,550,524,0,1491,324,2803,53,3073,645,983,138,12,240,0,Jacksonville, NC
127,1,"Jacksonville, NC",11.472,2600.0,12.760000000000002,5144,21,41906,550,524,0,1491,324,2803,53,3073,645,983,138,12,240,0,Jacksonville, NC
128,0,"Johnson City, TN",11.595896995708152,203070.0,17.61502145922746,37189,28,30781,5323,8108,5937,9307,2855,10978,919,30863,2661,1624,98,7,1017,0,Johnson City, TN
129,1,"Johnson City, TN",6.179,6020.0,18.16153846153846,37189,28,30781,5323,8108,5937,9307,2855,10978,919,30863,2661,1624,98,7,1017,0,Johnson City, TN
130,0,"Johnstown, PA",14.819333333333326,126900.0,19.462295081967223,3428,53,22661,1258,233,143,1600,737,713,24,2528,642,94,2,0,132,6,Johnstown, PA
131,1,"Johnstown, PA",7.002666666666666,2950.0,18.54444444444444,3428,53,22661,1258,233,143,1600,737,713,24,2528,642,94,2,0,132,6,Johnstown, PA
132,0,"Jonesboro, AR",13.689055276381904,149550.0,20.66834170854272,26824,26,42287,1274,6105,4034,6875,1645,7883,551,21386,3243,682,41,0,921,0,Jonesboro, AR
133,1,"Jonesboro, AR",10.169714285714289,3900.0,21.342857142857145,26824,26,42287,1274,6105,4034,6875,1645,7883,551,21386,3243,682,41,0,921,0,Jonesboro, AR
134,0,"Knoxville, TN",6.284843181818176,1041140.0,19.628636363636364,334644,35,65962,44583,73010,48868,86294,31631,94781,7107,268846,34379,15293,845,124,7380,670,Knoxville, TN
135,1,"Knoxville, TN",7.4155,44680.0,15.068750000000001,334644,35,65962,44583,73010,48868,86294,31631,94781,7107,268846,34379,15293,845,124,7380,670,Knoxville, TN
136,0,"Kokomo, IN",17.15003053435115,81520.0,21.05190839694656,75675,40,59338,10746,9310,5197,28385,9319,23499,1036,64241,5780,2452,250,21,1751,144,Kokomo, IN
137,1,"Kokomo, IN",17.4695,1260.0,6.050000000000001,75675,40,59338,10746,9310,5197,28385,9319,23499,1036,64241,5780,2452,250,21,1751,144,Kokomo, IN
138,0,"Lafayette, LA",8.87853846153846,524050.0,21.300320512820516,63226,34,73533,9670,13899,6745,17256,10411,14973,1284,32548,26729,1583,120,0,910,52,Lafayette, LA
139,1,"Lafayette, LA",5.4727500000000004,12420.0,17.508333333333333,63226,34,73533,9670,13899,6745,17256,10411,14973,1284,32548,26729,1583,120,0,910,52,Lafayette, LA
140,0,"Lake Charles, LA",11.070111111111112,274020.0,19.49341563786007,72693,34,51332,15437,8788,3670,23753,13783,22645,609,29106,38039,2737,197,0,1786,219,Lake Charles, LA
141,1,"Lake Charles, LA",1.652,1180.0,25.1,72693,34,51332,15437,8788,3670,23753,13783,22645,609,29106,38039,2737,197,0,1786,219,Lake Charles, LA
142,0,"Laredo, TX",13.446328502415458,276160.0,21.056521739130442,88995,31,47797,29307,8925,4597,23688,33900,17927,494,2543,209,85549,57,0,71,72,Laredo, TX
143,1,"Laredo, TX",6.761499999999999,5370.0,16.849999999999998,88995,31,47797,29307,8925,4597,23688,33900,17927,494,2543,209,85549,57,0,71,72,Laredo, TX
