,istech,area_title,jobs_1000,tot_emp,emp_prse,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other,city,state_code
259,1,"Springfield, IL",8.751000000000001,11200.0,22.12307692307693,18199,41,91064,596,5785,3919,3335,641,4514,1006,15802,682,344,12,11,316,26,Springfield, IL
260,0,"Springfield, MO",8.743748427672951,569120.0,19.514150943396235,61548,36,74161,7613,14115,10247,13836,4094,19259,1677,54554,2040,1697,293,118,1140,29,Springfield, MO
261,1,"Springfield, MO",5.956625,19520.0,22.412499999999998,61548,36,74161,7613,14115,10247,13836,4094,19259,1677,54554,2040,1697,293,118,1140,29,Springfield, MO
262,0,"Springfield, OH",15.229707865168544,122040.0,23.032584269662912,51464,37,54660,9770,5137,3202,19630,8316,15152,274,38740,8330,1365,126,71,2496,62,Springfield, OH
263,1,"Springfield, OH",6.682124999999999,2400.0,26.1125,51464,37,54660,9770,5137,3202,19630,8316,15152,274,38740,8330,1365,126,71,2496,62,Springfield, OH
264,0,"Sumter, SC",17.02429299363057,96360.0,15.914649681528656,1667,22,37966,165,175,208,91,131,1060,44,1090,189,129,0,0,215,0,Sumter, SC
265,1,"Sumter, SC",11.0464,1990.0,20.3,1667,22,37966,165,175,208,91,131,1060,44,1090,189,129,0,0,215,0,Sumter, SC
266,0,"Syracuse, NY",7.027916243654826,777810.0,16.443147208121825,23233,30,44751,8573,3361,2730,6100,5485,5536,1828,10680,6690,2318,208,0,1438,71,Syracuse, NY
267,1,"Syracuse, NY",2.9625333333333335,12480.0,19.153333333333332,23233,30,44751,8573,3361,2730,6100,5485,5536,1828,10680,6690,2318,208,0,1438,71,Syracuse, NY
268,0,"Tallahassee, FL",8.798624183006535,456850.0,17.2624183006536,265136,34,75746,31462,67238,52090,48283,19507,77955,9521,155464,76577,16720,468,54,5751,581,Tallahassee, FL
