county,labor_force,employed,unemployed,unemployed_pct
"West Feliciana Parish, LA",5276,4989,287,5.4     
"Winn Parish, LA",4709,4377,332,7.1     
"Androscoggin County, ME",54470,51486,2984,5.5     
"Aroostook County, ME",29255,27642,1613,5.5     
"Cumberland County, ME",160863,152368,8495,5.3     
"Franklin County, ME",13795,12956,839,6.1     
"Hancock County, ME",27648,26059,1589,5.7     
"Kennebec County, ME",61376,58332,3044,5.0     
"Knox County, ME",19535,18481,1054,5.4     
"Lincoln County, ME",16386,15516,870,5.3     
"Oxford County, ME",25815,24097,1718,6.7     
"Penobscot County, ME",74717,70710,4007,5.4     
"Piscataquis County, ME",7151,6760,391,5.5     
"Sagadahoc County, ME",19259,18348,911,4.7     
"Somerset County, ME",22024,20563,1461,6.6     
"Waldo County, ME",19961,18933,1028,5.2     
"Washington County, ME",13408,12575,833,6.2     
"York County, ME",110884,104935,5949,5.4     
"Allegany County, MD",30835,28437,2398,7.8     
"Anne Arundel County, MD",310413,292309,18104,5.8     
"Baltimore County, MD",445695,415263,30432,6.8     
"Calvert County, MD",48543,46006,2537,5.2     
"Caroline County, MD",17436,16469,967,5.5     
"Carroll County, MD",93073,88333,4740,5.1     
"Cecil County, MD",52083,48988,3095,5.9     
"Charles County, MD",86099,80309,5790,6.7     
"Dorchester County, MD",15990,14923,1067,6.7     
"Frederick County, MD",132867,124969,7898,5.9     
"Garrett County, MD",15274,14261,1013,6.6     
"Harford County, MD",138337,130336,8001,5.8     
"Howard County, MD",184474,174916,9558,5.2     
"Kent County, MD",9664,9026,638,6.6     
"Montgomery County, MD",548398,513663,34735,6.3     
"Prince George's County, MD",504276,462879,41397,8.2     
"Queen Anne's County, MD",27202,25712,1490,5.5     
"St. Mary's County, MD",57281,54513,2768,4.8     
"Somerset County, MD",8720,7996,724,8.3     
"Talbot County, MD",17776,16707,1069,6.0     
"Washington County, MD",72703,67799,4904,6.7     
"Wicomico County, MD",49403,45722,3681,7.5     
"Worcester County, MD",25069,22270,2799,11.2     
"Baltimore city, MD",281187,256482,24705,8.8     
"Barnstable County, MA",108128,97073,11055,10.2     
"Berkshire County, MA",61645,56016,5629,9.1     
"Bristol County, MA",293532,263456,30076,10.2     
"Dukes County, MA",9517,8640,877,9.2     
"Essex County, MA",414660,374075,40585,9.8     
"Franklin County, MA",39501,36565,2936,7.4     
"Hampden County, MA",220259,197372,22887,10.4     
"Hampshire County, MA",85661,79477,6184,7.2     
"Middlesex County, MA",882398,818205,64193,7.3     
"Nantucket County/town, MA",7664,6873,791,10.3     
"Norfolk County, MA",380061,348328,31733,8.3     
"Plymouth County, MA",276733,250579,26154,9.5     
"Suffolk County, MA",446558,403388,43170,9.7     
"Worcester County, MA",432005,394081,37924,8.8     
"Alcona County, MI",3861,3479,382,9.9     
"Alger County, MI",3147,2809,338,10.7     
"Allegan County, MI",62253,57710,4543,7.3     
"Alpena County, MI",13245,12224,1021,7.7     
"Antrim County, MI",10207,9213,994,9.7     
"Arenac County, MI",5909,5234,675,11.4     
"Baraga County, MI",3163,2793,370,11.7     
"Barry County, MI",31350,29033,2317,7.4     
"Bay County, MI",49573,45009,4564,9.2     
"Benzie County, MI",8655,7838,817,9.4     
"Berrien County, MI",72765,66476,6289,8.6     
"Branch County, MI",19739,18148,1591,8.1     
"Calhoun County, MI",61838,55844,5994,9.7     
"Cass County, MI",24470,22327,2143,8.8     
"Charlevoix County, MI",12649,11405,1244,9.8     
"Cheboygan County, MI",10277,8779,1498,14.6     
"Chippewa County, MI",16121,14684,1437,8.9     
"Clare County, MI",11798,10440,1358,11.5     
"Clinton County, MI",40089,37463,2626,6.6     
"Crawford County, MI",5660,5070,590,10.4     
"Delta County, MI",16948,15466,1482,8.7     
"Dickinson County, MI",12206,11347,859,7.0     
"Eaton County, MI",56112,51803,4309,7.7     
"Emmet County, MI",17219,15415,1804,10.5     
"Genesee County, MI",179933,159859,20074,11.2     
"Gladwin County, MI",9876,8915,961,9.7     
"Gogebic County, MI",5852,5402,450,7.7     
"Grand Traverse County, MI",48974,44869,4105,8.4     
"Gratiot County, MI",17927,16497,1430,8.0     
"Hillsdale County, MI",20088,18261,1827,9.1     
"Houghton County, MI",15945,14789,1156,7.2     
"Huron County, MI",15554,14231,1323,8.5     
"Ingham County, MI",146960,136006,10954,7.5     
"Ionia County, MI",30414,28000,2414,7.9     
"Iosco County, MI",10152,9089,1063,10.5     
"Iron County, MI",4985,4581,404,8.1     
"Isabella County, MI",33122,30354,2768,8.4     
"Jackson County, MI",74075,67407,6668,9.0     
"Kalamazoo County, MI",131618,122130,9488,7.2     
"Kalkaska County, MI",7904,7029,875,11.1     
"Kent County, MI",357123,330032,27091,7.6     
"Keweenaw County, MI",884,805,79,8.9     
"Lake County, MI",3989,3560,429,10.8     
"Lapeer County, MI",40138,35123,5015,12.5     
"Leelanau County, MI",10261,9445,816,8.0     
"Lenawee County, MI",45597,41492,4105,9.0     
"Livingston County, MI",99598,90819,8779,8.8     
"Luce County, MI",2257,2063,194,8.6     
"Mackinac County, MI",5003,4335,668,13.4     
"Macomb County, MI",439510,386942,52568,12.0     
"Manistee County, MI",10270,9164,1106,10.8     
"Marquette County, MI",31758,29121,2637,8.3     
"Mason County, MI",13374,12142,1232,9.2     
"Mecosta County, MI",18415,16740,1675,9.1     
"Menominee County, MI",10694,10008,686,6.4     
"Midland County, MI",39706,36742,2964,7.5     
"Missaukee County, MI",6923,6291,632,9.1     
"Monroe County, MI",74397,67764,6633,8.9     
"Montcalm County, MI",28133,25578,2555,9.1     
"Montmorency County, MI",3021,2624,397,13.1     
"Muskegon County, MI",77540,68681,8859,11.4     
"Newaygo County, MI",23340,21319,2021,8.7     
"Oakland County, MI",648742,588572,60170,9.3     
"Oceana County, MI",12024,10783,1241,10.3     
"Ogemaw County, MI",8048,7167,881,10.9     
"Ontonagon County, MI",2053,1841,212,10.3     
"Osceola County, MI",11606,10641,965,8.3     
"Oscoda County, MI",2910,2563,347,11.9     
"Otsego County, MI",11651,10455,1196,10.3     
"Ottawa County, MI",158936,148077,10859,6.8     
"Presque Isle County, MI",4951,4402,549,11.1     
"Roscommon County, MI",7835,6885,950,12.1     
"Saginaw County, MI",84807,76397,8410,9.9     
"St. Clair County, MI",73897,65042,8855,12.0     
"St. Joseph County, MI",29052,26418,2634,9.1     
"Sanilac County, MI",19541,17641,1900,9.7     
"Schoolcraft County, MI",3248,2934,314,9.7     
"Shiawassee County, MI",32859,29839,3020,9.2     
"Tuscola County, MI",23739,21344,2395,10.1     
"Van Buren County, MI",34835,31932,2903,8.3     
"Washtenaw County, MI",193659,181294,12365,6.4     
"Wayne County, MI",796974,686888,110086,13.8     
"Wexford County, MI",14918,13402,1516,10.2     
"Aitkin County, MN",7487,6884,603,8.1     
"Anoka County, MN",198304,185714,12590,6.3     
"Becker County, MN",18817,17644,1173,6.2     
"Beltrami County, MN",24865,23306,1559,6.3     
"Benton County, MN",22062,20597,1465,6.6     
"Big Stone County, MN",2517,2398,119,4.7     
"Blue Earth County, MN",40363,38182,2181,5.4     
"Brown County, MN",14270,13539,731,5.1     
"Carlton County, MN",17715,16435,1280,7.2     
"Carver County, MN",58673,55626,3047,5.2     
"Cass County, MN",14206,12905,1301,9.2     
"Chippewa County, MN",6779,6435,344,5.1     
"Chisago County, MN",30083,28103,1980,6.6     
"Clay County, MN",36323,34762,1561,4.3     
"Clearwater County, MN",4507,4084,423,9.4     
"Cook County, MN",2948,2699,249,8.4     
"Cottonwood County, MN",6265,5974,291,4.6     
"Crow Wing County, MN",32291,29954,2337,7.2     
"Dakota County, MN",242394,227375,15019,6.2     
"Dodge County, MN",12042,11395,647,5.4     
"Douglas County, MN",21271,20252,1019,4.8     
"Faribault County, MN",7087,6651,436,6.2     
"Fillmore County, MN",11654,11069,585,5.0     
"Freeborn County, MN",16258,15344,914,5.6     
"Goodhue County, MN",26659,25099,1560,5.9     
"Grant County, MN",3337,3161,176,5.3     
"Hennepin County, MN",710270,663738,46532,6.6     
"Houston County, MN",10311,9869,442,4.3     
"Hubbard County, MN",9907,9207,700,7.1     
"Isanti County, MN",21430,19976,1454,6.8     
"Itasca County, MN",22100,20240,1860,8.4     
"Jackson County, MN",5772,5493,279,4.8     
"Kanabec County, MN",9109,8380,729,8.0     
"Kandiyohi County, MN",24696,23512,1184,4.8     
"Kittson County, MN",2411,2300,111,4.6     
"Koochiching County, MN",5796,5367,429,7.4     
"Lac qui Parle County, MN",3529,3363,166,4.7     
"Lake County, MN",5273,4889,384,7.3     
"Lake of the Woods County, MN",2442,2292,150,6.1     
"Le Sueur County, MN",16186,15092,1094,6.8     
"Lincoln County, MN",3125,2986,139,4.4     
"Lyon County, MN",14364,13719,645,4.5     
"McLeod County, MN",19236,18145,1091,5.7     
"Mahnomen County, MN",2198,1912,286,13.0     
"Marshall County, MN",5451,5098,353,6.5     
"Martin County, MN",9994,9474,520,5.2     
"Meeker County, MN",13251,12567,684,5.2     
"Mille Lacs County, MN",12937,11847,1090,8.4     
"Morrison County, MN",17936,16724,1212,6.8     
"Mower County, MN",20929,19889,1040,5.0     
"Murray County, MN",4834,4589,245,5.1     
"Nicollet County, MN",20752,19755,997,4.8     
"Nobles County, MN",11602,11114,488,4.2     
"Norman County, MN",3287,3079,208,6.3     
"Olmsted County, MN",91030,86093,4937,5.4     
"Otter Tail County, MN",31488,29790,1698,5.4     
"Pennington County, MN",8663,8130,533,6.2     
"Pine County, MN",14581,13326,1255,8.6     
"Pipestone County, MN",4670,4481,189,4.0     
"Polk County, MN",16403,15485,918,5.6     
"Pope County, MN",6512,6222,290,4.5     
"Ramsey County, MN",290181,270117,20064,6.9     
"Red Lake County, MN",2230,2087,143,6.4     
"Redwood County, MN",7782,7352,430,5.5     
"Renville County, MN",8598,8122,476,5.5     
"Rice County, MN",37193,35242,1951,5.2     
"Rock County, MN",5808,5632,176,3.0     
"Roseau County, MN",7917,7462,455,5.7     
"St. Louis County, MN",101110,93824,7286,7.2     
"Scott County, MN",83897,78940,4957,5.9     
"Sherburne County, MN",52434,49247,3187,6.1     
"Sibley County, MN",8373,7912,461,5.5     
"Stearns County, MN",90863,85650,5213,5.7     
"Steele County, MN",20330,19218,1112,5.5     
"Stevens County, MN",5446,5269,177,3.3     
"Swift County, MN",4881,4599,282,5.8     
"Todd County, MN",13786,13057,729,5.3     
"Traverse County, MN",1753,1676,77,4.4     
"Wabasha County, MN",12439,11780,659,5.3     
"Wadena County, MN",6024,5564,460,7.6     
"Waseca County, MN",9081,8515,566,6.2     
"Washington County, MN",143583,135509,8074,5.6     
"Watonwan County, MN",6664,6356,308,4.6     
"Wilkin County, MN",3458,3316,142,4.1     
"Winona County, MN",28193,26800,1393,4.9     
"Wright County, MN",75721,71523,4198,5.5     
"Yellow Medicine County, MN",5314,5069,245,4.6     
"Adams County, MS",10609,9441,1168,11.0     
"Alcorn County, MS",15419,14458,961,6.2     
"Amite County, MS",4460,4084,376,8.4     
"Attala County, MS",6977,6397,580,8.3     
"Benton County, MS",2995,2745,250,8.3     
"Bolivar County, MS",11537,10531,1006,8.7     
"Calhoun County, MS",5598,5146,452,8.1     
"Carroll County, MS",3462,3195,267,7.7     
"Chickasaw County, MS",6964,6207,757,10.9     
"Choctaw County, MS",3601,3370,231,6.4     
"Claiborne County, MS",3105,2657,448,14.4     
"Clarke County, MS",5846,5355,491,8.4     
"Clay County, MS",7946,7021,925,11.6     
"Coahoma County, MS",8362,7314,1048,12.5     
"Copiah County, MS",10759,9871,888,8.3     
"Covington County, MS",8379,7803,576,6.9     
"DeSoto County, MS",90498,85029,5469,6.0     
"Forrest County, MS",32983,30328,2655,8.0     
"Franklin County, MS",2770,2541,229,8.3     
"George County, MS",9013,8195,818,9.1     
"Greene County, MS",4337,3917,420,9.7     
"Grenada County, MS",9305,8638,667,7.2     
"Hancock County, MS",18692,17106,1586,8.5     
"Harrison County, MS",87410,79148,8262,9.5     
"Hinds County, MS",104391,94636,9755,9.3     
"Holmes County, MS",5530,4634,896,16.2     
"Humphreys County, MS",2225,1897,328,14.7     
"Issaquena County, MS",338,307,31,9.2     
"Itawamba County, MS",10343,9621,722,7.0     
"Jackson County, MS",58435,52868,5567,9.5     
"Jasper County, MS",6094,5551,543,8.9     
"Jefferson County, MS",1989,1623,366,18.4     
"Jefferson Davis County, MS",4022,3636,386,9.6     
"Jones County, MS",25621,23813,1808,7.1     
"Kemper County, MS",3423,3093,330,9.6     
"Lafayette County, MS",26570,24955,1615,6.1     
"Lamar County, MS",30544,28709,1835,6.0     
"Lauderdale County, MS",29638,27416,2222,7.5     
"Lawrence County, MS",4683,4276,407,8.7     
"Leake County, MS",8058,7424,634,7.9     
"Lee County, MS",41347,37985,3362,8.1     
"Leflore County, MS",9873,8816,1057,10.7     
"Lincoln County, MS",14553,13484,1069,7.3     
"Lowndes County, MS",25123,23038,2085,8.3     
"Madison County, MS",52376,48927,3449,6.6     
"Marion County, MS",10178,9459,719,7.1     
"Marshall County, MS",14119,13053,1066,7.6     
"Monroe County, MS",15692,14297,1395,8.9     
"Montgomery County, MS",3926,3610,316,8.0     
"Neshoba County, MS",10382,9415,967,9.3     
"Newton County, MS",8010,7374,636,7.9     
"Noxubee County, MS",3888,3459,429,11.0     
"Oktibbeha County, MS",22096,20414,1682,7.6     
"Panola County, MS",12739,11488,1251,9.8     
"Pearl River County, MS",23200,21502,1698,7.3     
"Perry County, MS",4245,3876,369,8.7     
"Pike County, MS",14674,13366,1308,8.9     
"Pontotoc County, MS",14911,13755,1156,7.8     
"Prentiss County, MS",11207,10428,779,7.0     
"Quitman County, MS",2355,2099,256,10.9     
"Rankin County, MS",74377,70428,3949,5.3     
"Scott County, MS",12681,11942,739,5.8     
"Sharkey County, MS",1475,1314,161,10.9     
"Simpson County, MS",10445,9730,715,6.8     
"Smith County, MS",6631,6248,383,5.8     
"Stone County, MS",7012,6483,529,7.5     
"Sunflower County, MS",7491,6651,840,11.2     
"Tallahatchie County, MS",5197,4810,387,7.4     
"Tate County, MS",11990,11070,920,7.7     
"Tippah County, MS",9394,8739,655,7.0     
"Tishomingo County, MS",8399,7849,550,6.5     
"Tunica County, MS",4590,3908,682,14.9     
"Union County, MS",14156,13150,1006,7.1     
"Walthall County, MS",4997,4575,422,8.4     
"Warren County, MS",20215,18448,1767,8.7     
"Washington County, MS",16182,14397,1785,11.0     
"Wayne County, MS",7494,6843,651,8.7     
"Webster County, MS",3891,3603,288,7.4     
"Wilkinson County, MS",2777,2406,371,13.4     
"Winston County, MS",7360,6723,637,8.7     
"Yalobusha County, MS",4900,4513,387,7.9     
"Yazoo County, MS",9877,8917,960,9.7     
"Adair County, MO",10086,9572,514,5.1     
"Andrew County, MO",9749,9355,394,4.0     
"Atchison County, MO",2744,2634,110,4.0     
"Audrain County, MO",10339,9728,611,5.9     
"Barry County, MO",15692,14673,1019,6.5     
"Barton County, MO",5187,4931,256,4.9     
"Bates County, MO",7662,7255,407,5.3     
"Benton County, MO",7235,6709,526,7.3     
"Bollinger County, MO",5409,5105,304,5.6     
"Boone County, MO",96381,92311,4070,4.2     
"Buchanan County, MO",43827,41667,2160,4.9     
"Butler County, MO",18183,17032,1151,6.3     
"Caldwell County, MO",4279,4050,229,5.4     
"Callaway County, MO",21366,20410,956,4.5     
"Camden County, MO",18829,17502,1327,7.0     
"Cape Girardeau County, MO",40333,38254,2079,5.2     
"Carroll County, MO",4680,4397,283,6.0     
"Carter County, MO",2524,2359,165,6.5     
"Cass County, MO",54079,51203,2876,5.3     
"Cedar County, MO",5734,5478,256,4.5     
"Chariton County, MO",3781,3628,153,4.0     
"Christian County, MO",45241,43008,2233,4.9     
"Clark County, MO",3169,2979,190,6.0     
"Clay County, MO",136568,128194,8374,6.1     
"Clinton County, MO",10564,9936,628,5.9     
"Cole County, MO",39151,37432,1719,4.4     
"Cooper County, MO",7219,6818,401,5.6     
"Crawford County, MO",10852,10157,695,6.4     
"Dade County, MO",3560,3405,155,4.4     
"Dallas County, MO",7034,6620,414,5.9     
"Daviess County, MO",4123,3948,175,4.2     
"DeKalb County, MO",4791,4585,206,4.3     
"Dent County, MO",6351,6045,306,4.8     
"Douglas County, MO",5167,4768,399,7.7     
"Dunklin County, MO",11562,10718,844,7.3     
"Franklin County, MO",52661,49396,3265,6.2     
"Gasconade County, MO",7606,7168,438,5.8     
"Gentry County, MO",3405,3289,116,3.4     
"Greene County, MO",150766,142704,8062,5.3     
"Grundy County, MO",4333,4134,199,4.6     
"Harrison County, MO",3811,3639,172,4.5     
"Henry County, MO",9673,9106,567,5.9     
"Hickory County, MO",3879,3683,196,5.1     
"Holt County, MO",2578,2491,87,3.4     
"Howard County, MO",4822,4622,200,4.1     
"Howell County, MO",16201,15118,1083,6.7     
"Iron County, MO",3500,3254,246,7.0     
"Jackson County, MO",360213,334471,25742,7.1     
"Jasper County, MO",56154,52968,3186,5.7     
"Jefferson County, MO",116774,109655,7119,6.1     
"Johnson County, MO",23108,21796,1312,5.7     
"Knox County, MO",1757,1686,71,4.0     
"Laclede County, MO",16731,15343,1388,8.3     
"Lafayette County, MO",16582,15711,871,5.3     
"Lawrence County, MO",17672,16599,1073,6.1     
"Lewis County, MO",4966,4723,243,4.9     
"Lincoln County, MO",28723,26926,1797,6.3     
"Linn County, MO",5093,4781,312,6.1     
"Livingston County, MO",7389,7107,282,3.8     
"McDonald County, MO",10578,10052,526,5.0     
"Macon County, MO",7435,7079,356,4.8     
"Madison County, MO",5475,5117,358,6.5     
"Maries County, MO",3909,3720,189,4.8     
"Marion County, MO",14299,13612,687,4.8     
"Mercer County, MO",1889,1821,68,3.6     
"Miller County, MO",12308,11547,761,6.2     
"Mississippi County, MO",5701,5396,305,5.3     
"Moniteau County, MO",7368,7055,313,4.2     
"Monroe County, MO",3789,3564,225,5.9     
"Montgomery County, MO",5750,5464,286,5.0     
"Morgan County, MO",8273,7755,518,6.3     
"New Madrid County, MO",8483,7991,492,5.8     
"Newton County, MO",26732,25179,1553,5.8     
"Nodaway County, MO",10722,10232,490,4.6     
"Oregon County, MO",3938,3673,265,6.7     
"Osage County, MO",7078,6824,254,3.6     
"Ozark County, MO",3467,3216,251,7.2     
"Pemiscot County, MO",6271,5770,501,8.0     
"Perry County, MO",9826,9264,562,5.7     
"Pettis County, MO",20626,19218,1408,6.8     
"Phelps County, MO",19776,18833,943,4.8     
"Pike County, MO",7549,7137,412,5.5     
"Platte County, MO",58458,55275,3183,5.4     
"Polk County, MO",14331,13661,670,4.7     
"Pulaski County, MO",14583,13761,822,5.6     
"Putnam County, MO",2275,2175,100,4.4     
"Ralls County, MO",5627,5376,251,4.5     
"Randolph County, MO",10210,9605,605,5.9     
"Ray County, MO",10966,10213,753,6.9     
"Reynolds County, MO",2922,2756,166,5.7     
"Ripley County, MO",4987,4593,394,7.9     
"St. Charles County, MO",224521,212786,11735,5.2     
"St. Clair County, MO",3764,3534,230,6.1     
"Ste. Genevieve County, MO",9239,8782,457,4.9     
"St. Francois County, MO",26414,24562,1852,7.0     
"St. Louis County, MO",524721,491901,32820,6.3     
"Saline County, MO",10597,10118,479,4.5     
"Schuyler County, MO",1961,1849,112,5.7     
"Scotland County, MO",2393,2315,78,3.3     
"Scott County, MO",19872,18814,1058,5.3     
"Shannon County, MO",3343,3098,245,7.3     
"Shelby County, MO",3047,2911,136,4.5     
"Stoddard County, MO",13238,12450,788,6.0     
"Stone County, MO",13120,11836,1284,9.8     
"Sullivan County, MO",2785,2664,121,4.3     
"Taney County, MO",26259,22866,3393,12.9     
"Texas County, MO",8953,8434,519,5.8     
"Vernon County, MO",9436,9025,411,4.4     
"Warren County, MO",18207,17150,1057,5.8     
"Washington County, MO",10143,9415,728,7.2     
"Wayne County, MO",5085,4775,310,6.1     
"Webster County, MO",17322,16396,926,5.3     
"Worth County, MO",1180,1131,49,4.2     
"Wright County, MO",7369,6851,518,7.0     
"St. Louis city, MO",152292,139334,12958,8.5     
"Beaverhead County, MT",5050,4847,203,4.0     
"Big Horn County, MT",4874,4517,357,7.3     
"Blaine County, MT",2278,2169,109,4.8     
"Broadwater County, MT",2605,2442,163,6.3     
"Carbon County, MT",5567,5233,334,6.0     
"Carter County, MT",649,630,19,2.9     
"Cascade County, MT",37797,35561,2236,5.9     
"Chouteau County, MT",2454,2359,95,3.9     
"Custer County, MT",6230,5930,300,4.8     
"Daniels County, MT",898,873,25,2.8     
"Dawson County, MT",4668,4408,260,5.6     
"Deer Lodge County, MT",5035,4779,256,5.1     
"Fallon County, MT",1648,1582,66,4.0     
"Fergus County, MT",5844,5578,266,4.6     
"Flathead County, MT",49357,45499,3858,7.8     
"Gallatin County, MT",70434,66898,3536,5.0     
"Garfield County, MT",741,721,20,2.7     
"Glacier County, MT",5443,4907,536,9.8     
"Golden Valley County, MT",363,346,17,4.7     
"Granite County, MT",1606,1475,131,8.2     
"Hill County, MT",7608,7229,379,5.0     
"Jefferson County, MT",5789,5492,297,5.1     
"Judith Basin County, MT",987,939,48,4.9     
"Lake County, MT",13659,12815,844,6.2     
"Lewis and Clark County, MT",36479,34666,1813,5.0     
"Liberty County, MT",969,942,27,2.8     
"Lincoln County, MT",8097,7278,819,10.1     
"McCone County, MT",961,933,28,2.9     
"Madison County, MT",4551,4319,232,5.1     
"Meagher County, MT",966,921,45,4.7     
"Mineral County, MT",1778,1597,181,10.2     
"Missoula County, MT",64123,60106,4017,6.3     
"Musselshell County, MT",2328,2185,143,6.1     
"Park County, MT",8938,8273,665,7.4     
"Petroleum County, MT",264,255,9,3.4     
"Phillips County, MT",1891,1798,93,4.9     
"Pondera County, MT",2685,2553,132,4.9     
"Powder River County, MT",976,946,30,3.1     
"Powell County, MT",2956,2819,137,4.6     
"Prairie County, MT",471,439,32,6.8     
"Ravalli County, MT",20684,19493,1191,5.8     
"Richland County, MT",5938,5556,382,6.4     
"Roosevelt County, MT",4451,4185,266,6.0     
"Rosebud County, MT",3742,3530,212,5.7     
"Sanders County, MT",5086,4691,395,7.8     
"Sheridan County, MT",1769,1684,85,4.8     
"Silver Bow County, MT",17295,16153,1142,6.6     
"Stillwater County, MT",5332,5062,270,5.1     
"Sweet Grass County, MT",1861,1794,67,3.6     
"Teton County, MT",2765,2644,121,4.4     
"Toole County, MT",2141,2034,107,5.0     
"Treasure County, MT",338,326,12,3.6     
"Valley County, MT",4056,3880,176,4.3     
"Wheatland County, MT",754,699,55,7.3     
"Wibaux County, MT",454,431,23,5.1     
"Yellowstone County, MT",83203,78676,4527,5.4     
"Adams County, NE",16839,16169,670,4.0     
"Antelope County, NE",3909,3821,88,2.3     
"Arthur County, NE",231,219,12,5.2     
"Banner County, NE",380,370,10,2.6     
"Blaine County, NE",255,246,9,3.5     
"Boone County, NE",2937,2864,73,2.5     
"Box Butte County, NE",5405,5148,257,4.8     
"Boyd County, NE",1057,1027,30,2.8     
"Brown County, NE",1397,1359,38,2.7     
"Buffalo County, NE",27519,26430,1089,4.0     
"Burt County, NE",3556,3419,137,3.9     
"Butler County, NE",4589,4433,156,3.4     
"Cass County, NE",13432,12851,581,4.3     
"Cedar County, NE",4506,4384,122,2.7     
"Chase County, NE",2285,2244,41,1.8     
"Cherry County, NE",3334,3253,81,2.4     
"Cheyenne County, NE",4224,4038,186,4.4     
"Clay County, NE",3256,3152,104,3.2     
"Colfax County, NE",5620,5457,163,2.9     
"Cuming County, NE",4830,4708,122,2.5     
"Custer County, NE",6348,6174,174,2.7     
"Dakota County, NE",10598,10089,509,4.8     
"Dawes County, NE",4952,4812,140,2.8     
"Dawson County, NE",13302,12846,456,3.4     
"Deuel County, NE",956,927,29,3.0     
"Dixon County, NE",2945,2850,95,3.2     
"Dodge County, NE",20100,19391,709,3.5     
"Douglas County, NE",300140,284846,15294,5.1     
"Dundy County, NE",1158,1133,25,2.2     
"Fillmore County, NE",3154,3067,87,2.8     
"Franklin County, NE",1473,1422,51,3.5     
"Frontier County, NE",1539,1494,45,2.9     
"Furnas County, NE",2593,2521,72,2.8     
"Gage County, NE",10872,10438,434,4.0     
"Garden County, NE",1061,1024,37,3.5     
"Garfield County, NE",1147,1124,23,2.0     
"Gosper County, NE",1094,1066,28,2.6     
"Grant County, NE",409,401,8,2.0     
"Greeley County, NE",1232,1196,36,2.9     
"Hall County, NE",32030,30179,1851,5.8     
"Hamilton County, NE",4760,4585,175,3.7     
"Harlan County, NE",1731,1681,50,2.9     
"Hayes County, NE",630,616,14,2.2     
"Hitchcock County, NE",1304,1259,45,3.5     
"Holt County, NE",5730,5590,140,2.4     
"Hooker County, NE",412,401,11,2.7     
"Howard County, NE",3340,3193,147,4.4     
"Jefferson County, NE",4193,4078,115,2.7     
"Johnson County, NE",2058,1977,81,3.9     
"Kearney County, NE",3776,3655,121,3.2     
"Keith County, NE",4547,4400,147,3.2     
"Keya Paha County, NE",597,585,12,2.0     
"Kimball County, NE",1975,1905,70,3.5     
"Knox County, NE",4655,4517,138,3.0     
"Lancaster County, NE",177006,169507,7499,4.2     
"Lincoln County, NE",18367,17645,722,3.9     
"Logan County, NE",471,459,12,2.5     
"Loup County, NE",409,397,12,2.9     
"McPherson County, NE",443,431,12,2.7     
"Madison County, NE",19665,18898,767,3.9     
"Merrick County, NE",4004,3845,159,4.0     
"Morrill County, NE",2605,2512,93,3.6     
"Nance County, NE",1946,1883,63,3.2     
"Nemaha County, NE",3581,3453,128,3.6     
"Nuckolls County, NE",2454,2388,66,2.7     
"Otoe County, NE",8369,8072,297,3.5     
"Pawnee County, NE",1486,1445,41,2.8     
"Perkins County, NE",1834,1801,33,1.8     
"Phelps County, NE",4953,4805,148,3.0     
"Pierce County, NE",4125,3989,136,3.3     
"Platte County, NE",17741,17090,651,3.7     
"Polk County, NE",2912,2824,88,3.0     
"Red Willow County, NE",5854,5663,191,3.3     
"Richardson County, NE",4197,4062,135,3.2     
"Rock County, NE",873,855,18,2.1     
"Saline County, NE",7310,7047,263,3.6     
"Sarpy County, NE",96776,92833,3943,4.1     
"Saunders County, NE",11155,10746,409,3.7     
"Scotts Bluff County, NE",18160,17402,758,4.2     
"Seward County, NE",8852,8489,363,4.1     
"Sheridan County, NE",2708,2643,65,2.4     
"Sherman County, NE",1667,1614,53,3.2     
"Sioux County, NE",747,730,17,2.3     
"Stanton County, NE",3531,3412,119,3.4     
"Thayer County, NE",2781,2705,76,2.7     
"Thomas County, NE",420,403,17,4.0     
"Thurston County, NE",3070,2909,161,5.2     
"Valley County, NE",2124,2064,60,2.8     
"Washington County, NE",11136,10729,407,3.7     
"Wayne County, NE",5610,5454,156,2.8     
"Webster County, NE",1653,1591,62,3.8     
"Wheeler County, NE",550,540,10,1.8     
"York County, NE",7265,7021,244,3.4     
"Churchill County, NV",11074,10451,623,5.6     
"Clark County, NV",1123582,958069,165513,14.7     
"Douglas County, NV",22465,20531,1934,8.6     
"Elko County, NV",26791,25264,1527,5.7     
"Esmeralda County, NV",406,385,21,5.2     
"Eureka County, NV",1040,1004,36,3.5     
"Humboldt County, NV",8036,7641,395,4.9     
"Lander County, NV",3149,2999,150,4.8     
"Lincoln County, NV",2013,1910,103,5.1     
"Lyon County, NV",23045,21077,1968,8.5     
"Mineral County, NV",2093,1976,117,5.6     
"Nye County, NV",17596,15889,1707,9.7     
"Pershing County, NV",2530,2407,123,4.9     
"Storey County, NV",2050,1879,171,8.3     
"Washoe County, NV",254278,234544,19734,7.8     
"White Pine County, NV",4595,4403,192,4.2     
"Carson City, NV",26130,23987,2143,8.2     
"Belknap County, NH",31128,28971,2157,6.9     
"Carroll County, NH",23134,21358,1776,7.7     
"Cheshire County, NH",39851,37407,2444,6.1     
"Coos County, NH",14399,13263,1136,7.9     
"Grafton County, NH",48154,45341,2813,5.8     
"Hillsborough County, NH",240135,223343,16792,7.0     
