,istech,area_title,tot_emp,sum_area_occupations,jobs_1000,area_name,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
153,1,"Glens Falls, NY",2620,46620,53,"Glens Falls, NY",49181,42,73803,3201,7614,6661,15931,3204,15747,637,45866,727,1231,171,33,505,11
155,1,"Goldsboro, NC",1610,41570,19,"Goldsboro, NC",82997,34,41834,14754,12479,4901,23952,12711,28935,1407,41289,28874,8410,219,28,2735,35
157,1,"Grand Island, NE",2070,38910,36,"Grand Island, NE",56882,37,74076,6512,7698,3412,17785,9369,18613,702,38281,1337,15526,183,141,565,147
159,1,"Grand Junction, CO",2390,58930,18,"Grand Junction, CO",133831,39,67590,17968,24283,11644,37816,13511,46576,934,108372,947,20088,768,133,2350,239
161,1,"Grants Pass, OR",1440,25850,42,"Grants Pass, OR",34681,48,59180,4335,3676,2323,11548,3918,13213,234,30943,53,2041,460,1,949,0
163,1,"Great Falls, MT",2010,34110,27,"Great Falls, MT",73935,37,60869,7216,13570,6947,22577,5881,24919,668,62762,1034,3371,3360,72,2652,16
165,1,"Greeley, CO",1410,100580,8,"Greeley, CO",179550,32,81303,17556,31604,15616,48756,24981,58420,2376,113444,2416,57058,785,109,3073,289
167,1,"Green Bay, WI",10910,163470,57,"Green Bay, WI",192937,37,72693,19474,38320,15734,58981,19290,60569,6471,150856,4697,19560,5767,0,5265,321
169,1,"Greenville, NC",1070,71060,8,"Greenville, NC",140495,30,68471,21182,30646,19117,30554,12975,47138,2934,76470,48387,8620,287,61,3090,646
171,1,"Hammond, LA",1820,42050,23,"Hammond, LA",79042,29,48490,13781,12086,5851,25366,11744,24005,836,50442,22720,3330,91,0,1540,83
173,1,"Harrisonburg, VA",3110,56540,43,"Harrisonburg, VA",72942,26,43965,8106,13961,10466,18026,10985,16232,2419,51884,3924,12490,75,48,1916,186
175,1,"Hattiesburg, MS",3570,60860,42,"Hattiesburg, MS",85210,27,42928,15196,19000,12293,19673,9208,25112,1216,46128,33807,2408,106,9,1520,16
177,1,"Hinesville, GA",1240,17590,787,"Hinesville, GA",1575,22,-1,0,149,0,571,0,853,68,757,377,305,0,21,47,0
179,1,"Homosassa Springs, FL",1310,30070,49,"Homosassa Springs, FL",27003,58,54430,2395,3993,1615,9498,3473,8446,378,24500,536,1215,148,0,226,0
181,1,"Hot Springs, AR",1920,35150,10,"Hot Springs, AR",186882,47,56337,23950,26998,15058,54968,21194,68616,894,153710,15408,11086,1156,16,4544,68
183,1,"Huntsville, AL",17470,218720,16,"Huntsville, AL",1097760,37,90040,116487,279150,169914,226605,98880,323160,28287,713190,264255,53979,5994,708,28521,2826
185,1,"Idaho Falls, ID",5130,68820,48,"Idaho Falls, ID",107054,33,75976,9617,21945,9353,28188,9217,38408,922,89068,550,13896,324,179,2057,58
187,1,"Iowa City, IA",7060,78450,268,"Iowa City, IA",26348,22,42223,1185,8297,8124,3592,1117,5215,1064,22355,708,1257,37,133,720,74
189,1,"Ithaca, NY",2070,43960,238,"Ithaca, NY",8695,31,35409,545,3905,643,1971,539,1635,201,7446,386,358,59,0,195,50
191,1,"Jackson, MI",3010,42960,29,"Jackson, MI",102465,38,57842,15090,14055,6341,34384,11071,36682,956,81638,12228,4303,343,37,2901,59
193,1,"Jackson, MS",17780,251550,64,"Jackson, MS",275698,31,55577,48028,47845,33672,69593,36429,86879,3676,85082,177890,6372,321,92,1900,365
195,1,"Jackson, TN",3500,63770,39,"Jackson, TN",88680,40,56140,15169,15555,8220,29943,9850,25137,1048,48252,34367,3376,41,0,1536,60
197,1,"Jacksonville, FL",54580,683500,60,"Jacksonville, FL",906683,35,66129,112662,173209,80832,255692,98217,298760,41705,488729,266653,81270,1387,831,23921,2187
199,1,"Jacksonville, NC",2190,45500,17,"Jacksonville, NC",132005,24,50702,15569,18994,7479,36528,9825,59220,2850,80845,22837,17754,537,340,6661,181
201,1,"Jefferson City, MO",6540,72590,82,"Jefferson City, MO",79748,38,67110,7054,16890,8701,24711,6823,22624,1169,64957,9116,2168,311,42,1492,493
203,1,"Johnson City, TN",4790,75020,36,"Johnson City, TN",132565,38,53743,16426,24822,17440,38539,14454,37269,2054,118231,5040,4214,396,7,2621,2
205,1,"Johnstown, PA",2370,46440,159,"Johnstown, PA",14889,47,31470,3596,1172,555,7192,2353,3624,47,11968,1621,419,2,0,770,62
207,1,"Jonesboro, AR",3340,54870,36,"Jonesboro, AR",91806,32,51418,12694,16457,9601,29135,9944,26373,1187,68651,13870,4841,195,154,2794,114
209,1,"Joplin, MO",4070,76300,46,"Joplin, MO",88208,36,61795,9583,15360,7031,28731,9360,27665,1064,76974,2363,3259,1596,48,2770,134
211,1,"Kankakee, IL",2830,41930,59,"Kankakee, IL",47916,36,63692,8187,4382,2916,15941,8113,16586,446,29381,10845,6459,144,13,598,30
