,area_title,area_name,zipcode,state,city,population,median_age,race_asian,race_white,race_black,race_native,race_islander,race_other,race_two,race_hispanic,average_household_income,family_households_total,family_poverty_pct,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,family_poverty
61,"Amarillo, TX",AMARILLO,79102,Texas,Amarillo,9586,30,906,4679,403,68,27,0,241,3262,51191,2161,19.8,1274,565,2214,2233,3297,1898
62,"Amarillo, TX",AMARILLO,79103,Texas,Amarillo,10880,33,75,3671,366,10,0,31,215,6512,53795,2862,15.5,761,195,3927,2284,3710,1686
63,"Amarillo, TX",AMARILLO,79104,Texas,Amarillo,6727,34,60,1744,20,0,0,0,21,4882,46131,1626,24.5,154,53,2172,2670,1668,1648
64,"Amarillo, TX",AMARILLO,79106,Texas,Amarillo,27883,34,377,16997,1987,115,12,23,1076,7296,58975,6851,16.1,4293,2230,7472,3792,10121,4489
65,"Amarillo, TX",AMARILLO,79107,Texas,Amarillo,35188,27,4032,6175,5389,35,24,8,578,18947,44620,8201,24.8,1548,422,11647,13336,8233,8726
66,"Amarillo, TX",AMARILLO,79108,Texas,Amarillo,16479,41,109,9828,2251,61,22,24,203,3981,73336,3142,11.9,1400,313,6294,3510,4927,1961
67,"Amarillo, TX",AMARILLO,79109,Texas,Amarillo,44211,36,836,32332,2144,161,9,48,1219,7462,76699,11305,5.8,8797,4376,9372,3669,18038,2564
68,"Amarillo, TX",AMARILLO,79110,Texas,Amarillo,19242,33,114,12741,568,91,20,15,356,5337,69031,5277,13.1,2462,1000,5214,2366,8197,2520
69,"Amarillo, TX",AMARILLO,79111,Texas,Amarillo,2060,29,20,1528,72,1,0,0,15,424,66676,402,12.9,115,105,545,309,984,265
70,"Amarillo, TX",AMARILLO,79118,Texas,Palisades; Amarillo; Timbercre,22279,35,401,15594,558,167,29,0,220,5310,85878,5920,6.0,3364,1336,6884,2963,7753,1336
71,"Amarillo, TX",AMARILLO,79119,Texas,Amarillo,15884,36,360,12978,82,80,31,0,30,2323,115265,4398,3.9,4383,2700,2398,540,5861,619
72,"Amarillo, TX",AMARILLO,79121,Texas,Amarillo,6582,50,155,4933,252,0,0,30,95,1117,102589,1887,1.6,1856,908,1230,401,2178,105
73,"Amarillo, TX",AMARILLO,79124,Texas,Bishop Hills; Amarillo,8720,39,595,6955,107,19,0,0,87,957,125627,2354,1.5,2110,1334,1717,261,3296,130
74,"Ames, IA",AMES,50010,Iowa,Ames,32742,29,4154,25261,905,148,30,0,1000,1244,69743,7175,5.5,9986,9724,5009,818,7203,1800
75,"Ames, IA",AMES,50011,Iowa,Ames,1525,19,0,1392,10,0,0,0,22,101,-1,0,0.0,0,0,0,0,0,0
76,"Ames, IA",AMES,50012,Iowa,Ames,4799,19,109,4394,123,0,0,0,53,120,11108,0,0.0,0,0,4799,0,0,0
77,"Ames, IA",AMES,50014,Iowa,Ames,30123,22,2550,24814,645,27,4,14,1182,887,62275,4486,1.8,9579,9850,3223,722,6687,542
78,"Anchorage, AK",ANCHORAGE,99501,Alaska,Anchorage,17084,34,999,9015,1412,2189,539,111,1459,1360,87441,3142,11.4,3553,2238,4048,1605,5654,1947
79,"Anchorage, AK",ANCHORAGE,99502,Alaska,Anchorage,24505,32,2028,15271,857,1257,408,50,2014,2620,111653,5941,4.5,5709,3112,6003,1176,8527,1102
80,"Anchorage, AK",ANCHORAGE,99503,Alaska,Anchorage,13668,34,2102,5944,1257,1548,476,43,961,1337,64578,2522,12.3,2132,902,4168,1667,4797,1681
