,0,139,59,2,1,3,397,51,8,2,0,0
215,Mansfield,,,,,, OH,,,,,
216,Mayaguez,,,,,, PR,,,,,
217,McAllen,Edinburg,Mission,,,, TX,,,,,
218,Medford,,,,,, OR,,,,,
219,Memphis,,,,,, TN,MS,AR,,,
220,Merced,,,,,, CA,,,,,
221,Miami,Fort Lauderdale,West Palm Beach,,,, FL,,,,,
222,Michigan City,La Porte,,,,, IN,,,,,
223,Midland,,,,,, MI,,,,,
224,Midland,,,,,, TX,,,,,
225,Milwaukee,Waukesha,West Allis,,,, WI,,,,,
226,Minneapolis,St. Paul,Bloomington,,,, MN,WI,,,,
227,Missoula,,,,,, MT,,,,,
228,Mobile,,,,,, AL,,,,,
229,Modesto,,,,,, CA,,,,,
230,Monroe,,,,,, LA,,,,,
231,Monroe,,,,,, MI,,,,,
232,Montgomery,,,,,, AL,,,,,
233,Morgantown,,,,,, WV,,,,,
234,Morristown,,,,,, TN,,,,,
235,Mount Vernon,Anacortes,,,,, WA,,,,,
236,Muncie,,,,,, IN,,,,,
237,Muskegon,,,,,, MI,,,,,
238,Myrtle Beach,Conway,North Myrtle Beach,,,, SC,NC,,,,
239,Napa,,,,,, CA,,,,,
240,Naples,Immokalee,Marco Island,,,, FL,,,,,
241,Nashville,Davidson,,Murfreesboro,,Franklin, TN,,,,,
242,New Bern,,,,,, NC,,,,,
243,New Orleans,Metairie,,,,, LA,,,,,
244,New York,Newark,Jersey City,,,, NY,NJ,PA,,,
245,Niles,Benton Harbor,,,,, MI,,,,,
246,North Port,Sarasota,Bradenton,,,, FL,,,,,
247,Ocala,,,,,, FL,,,,,
248,Ocean City,,,,,, NJ,,,,,
249,Odessa,,,,,, TX,,,,,
250,Ogden,Clearfield,,,,, UT,,,,,
251,Oklahoma City,,,,,, OK,,,,,
252,Olympia,Tumwater,,,,, WA,,,,,
253,Omaha,Council Bluffs,,,,, NE,IA,,,,
254,Orlando,Kissimmee,Sanford,,,, FL,,,,,
255,Oshkosh,Neenah,,,,, WI,,,,,
256,Owensboro,,,,,, KY,,,,,
257,Oxnard,Thousand Oaks,Ventura,,,, CA,,,,,
258,Palm Bay,Melbourne,Titusville,,,, FL,,,,,
259,Panama City,,,,,, FL,,,,,
260,Parkersburg,Vienna,,,,, WV,,,,,
261,Pensacola,Ferry Pass,Brent,,,, FL,,,,,
262,Peoria,,,,,, IL,,,,,
263,Philadelphia,Camden,Wilmington,,,, PA,NJ,DE,MD,,
264,Phoenix,Mesa,Scottsdale,,,, AZ,,,,,
265,Pine Bluff,,,,,, AR,,,,,
266,Pittsburgh,,,,,, PA,,,,,
267,Pocatello,,,,,, ID,,,,,
268,Ponce,,,,,, PR,,,,,
269,Portland,Vancouver,Hillsboro,,,, OR,WA,,,,
270,Port St. Lucie,,,,,, FL,,,,,
271,Prescott,,,,,, AZ,,,,,
272,Provo,Orem,,,,, UT,,,,,
273,Pueblo,,,,,, CO,,,,,
274,Punta Gorda,,,,,, FL,,,,,
275,Racine,,,,,, WI,,,,,
276,Raleigh,,,,,, NC,,,,,
277,Rapid City,,,,,, SD,,,,,
278,Reading,,,,,, PA,,,,,
279,Redding,,,,,, CA,,,,,
280,Reno,,,,,, NV,,,,,
281,Richmond,,,,,, VA,,,,,
282,Riverside,San Bernardino,Ontario,,,, CA,,,,,
283,Roanoke,,,,,, VA,,,,,
